system:index,airTemp,date,.geo
20030101,294.5836437677585,2003-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030102,294.39612091762456,2003-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030103,293.65164410417964,2003-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030104,294.3837961437825,2003-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030105,294.63744233675595,2003-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030106,295.0369729719552,2003-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030107,294.89381826297347,2003-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030108,295.3592436337816,2003-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030109,294.52669767182647,2003-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030110,294.5250137362058,2003-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030111,294.26652577677135,2003-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030112,294.02146435303996,2003-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030113,293.8903524026674,2003-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030114,293.50150901044566,2003-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030115,293.2509641233036,2003-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030116,293.67834276217064,2003-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030117,293.4106543669567,2003-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030118,293.89722931820756,2003-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030119,294.4347065114479,2003-01-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030120,295.0426908783155,2003-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030121,295.37035228591105,2003-01-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030122,295.35286504919804,2003-01-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030123,295.44599466339776,2003-01-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030124,295.9659869103374,2003-01-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030125,296.2677342005074,2003-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030126,295.15384385675617,2003-01-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030127,295.00238857979804,2003-01-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030128,294.8279152117973,2003-01-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030129,294.45930805258837,2003-01-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030130,294.9559692709068,2003-01-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030131,295.7639829122812,2003-01-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030201,296.3499419153342,2003-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030202,296.45245987498816,2003-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030203,296.15997675823195,2003-02-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030204,296.2561377752791,2003-02-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030205,296.39168431859315,2003-02-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030206,295.9680220616593,2003-02-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030207,296.30084374396733,2003-02-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030208,296.6193734803997,2003-02-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030209,296.8488977198618,2003-02-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030210,296.4949288667755,2003-02-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030211,296.74028494782993,2003-02-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030212,297.43930770239103,2003-02-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030213,297.6717662935833,2003-02-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030214,298.5912239230583,2003-02-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030215,297.8449271322116,2003-02-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030216,297.7496029974361,2003-02-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030217,297.8670768618058,2003-02-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030218,297.6398786815165,2003-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030219,298.1049319946673,2003-02-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030220,298.89410485253035,2003-02-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030221,298.71827454710836,2003-02-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030222,297.96150777147085,2003-02-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030223,298.15782700081627,2003-02-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030224,298.26385416039597,2003-02-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030225,297.6940103945407,2003-02-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030226,298.2038808112336,2003-02-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030227,297.9418944645959,2003-02-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030228,297.87110684648746,2003-02-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030301,298.22087963326845,2003-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030302,298.80751780551185,2003-03-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030303,298.82645726986016,2003-03-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030304,299.1715783456642,2003-03-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030305,299.62741622558616,2003-03-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030306,299.17823266884426,2003-03-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030307,299.11614332944936,2003-03-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030308,298.7302551531951,2003-03-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030309,298.7776097842454,2003-03-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030310,298.2108671167665,2003-03-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030311,299.47563590761587,2003-03-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030312,299.4313058232091,2003-03-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030313,298.9258294814418,2003-03-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030314,298.8891709199834,2003-03-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030315,298.7946474283089,2003-03-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030316,296.59092286741605,2003-03-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030317,296.7490851663535,2003-03-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030318,296.20916640620703,2003-03-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030319,297.88993603889963,2003-03-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030320,297.46039060352587,2003-03-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030321,297.55717286388716,2003-03-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030322,297.7154110373045,2003-03-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030323,297.96561602884356,2003-03-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030324,298.514955210983,2003-03-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030325,299.1213903644105,2003-03-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030326,298.97565009692937,2003-03-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030327,299.5679195288479,2003-03-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030328,299.83277704591563,2003-03-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030329,299.83035320091494,2003-03-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030330,300.10731715904086,2003-03-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030331,300.3525552444477,2003-03-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030401,300.51295304346144,2003-04-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030402,299.42426971455416,2003-04-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030403,299.5783218518471,2003-04-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030404,299.74053543885327,2003-04-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030405,298.1659425907605,2003-04-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030406,298.823675371357,2003-04-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030407,299.30269674147206,2003-04-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030408,299.4232639761002,2003-04-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030409,299.7736292254224,2003-04-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030410,299.2362612188209,2003-04-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030411,299.35410400485046,2003-04-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030412,299.52081683030764,2003-04-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030413,300.27240591365467,2003-04-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030414,301.5442546917854,2003-04-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030415,301.55889906591,2003-04-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030416,301.895785580456,2003-04-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030417,302.0230852412574,2003-04-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030418,301.87077952974454,2003-04-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030419,300.9260428613307,2003-04-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030420,300.99974077043476,2003-04-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030421,301.6637989565458,2003-04-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030422,301.4380110572361,2003-04-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030423,301.6697614518702,2003-04-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030424,301.29480294172055,2003-04-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030425,301.69049585080666,2003-04-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030426,301.0682252769944,2003-04-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030427,300.87261809750805,2003-04-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030428,299.4814316635332,2003-04-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030429,299.16822401723925,2003-04-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030430,298.8080507316918,2003-04-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030501,299.605069494063,2003-05-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030502,301.0581451618046,2003-05-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030503,302.16861871746227,2003-05-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030504,300.6455515027081,2003-05-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030505,302.09076477708294,2003-05-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030506,300.06553911589435,2003-05-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030507,301.36004861102566,2003-05-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030508,301.84461087059174,2003-05-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030509,301.7740910497151,2003-05-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030510,301.85383463648475,2003-05-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030511,301.7500603938262,2003-05-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030512,300.6177923858827,2003-05-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030513,300.05082113386254,2003-05-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030514,300.4906545950411,2003-05-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030515,300.4420375266492,2003-05-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030516,300.8168204373831,2003-05-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030517,300.3595842881256,2003-05-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030518,300.49118086652203,2003-05-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030519,300.79637664718325,2003-05-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030520,301.0975449347207,2003-05-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030521,301.51575505098924,2003-05-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030522,301.0305802397704,2003-05-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030523,301.8196138730767,2003-05-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030524,302.00438141310696,2003-05-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030525,301.3891174247726,2003-05-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030526,302.0462786148227,2003-05-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030527,301.7615717840424,2003-05-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030528,301.24483581763707,2003-05-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030529,301.5333258057405,2003-05-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030530,301.82462066100754,2003-05-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030531,301.63059820449996,2003-05-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030601,300.6194067868737,2003-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030602,299.9444705651902,2003-06-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030603,299.6810876123216,2003-06-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030604,299.77382183133005,2003-06-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030605,299.53420279685037,2003-06-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030606,299.83459165189606,2003-06-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030607,299.6776917173915,2003-06-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030608,298.4085262150044,2003-06-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030609,299.14791115315006,2003-06-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030610,299.5570268193514,2003-06-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030611,299.78718292552907,2003-06-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030612,298.75059473572446,2003-06-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030613,298.2406660735619,2003-06-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030614,297.50765316357706,2003-06-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030615,297.11941460067567,2003-06-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030616,296.39366196341143,2003-06-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030617,297.6485460781362,2003-06-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030618,296.3760839865051,2003-06-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030619,295.9126365751117,2003-06-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030620,296.09426830475445,2003-06-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030621,295.39588836379716,2003-06-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030622,294.92847210520426,2003-06-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030623,295.62607255030383,2003-06-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030624,295.8494222300168,2003-06-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030625,296.784083275328,2003-06-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030626,296.487561651746,2003-06-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030627,296.71496769418724,2003-06-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030628,296.9648814951797,2003-06-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030629,296.80759005589414,2003-06-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030630,296.82208497028887,2003-06-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030701,295.97570872708974,2003-07-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030702,295.9437957374392,2003-07-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030703,294.63909222344125,2003-07-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030704,294.1486211436088,2003-07-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030705,293.77036174399524,2003-07-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030706,295.15319039418034,2003-07-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030707,295.62213507788084,2003-07-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030708,295.55393276679706,2003-07-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030709,295.59266961173535,2003-07-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030710,295.56371142631605,2003-07-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030711,295.2464865018729,2003-07-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030712,296.25883811936905,2003-07-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030713,295.9657233579488,2003-07-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030714,295.69876083938703,2003-07-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030715,294.3289923915567,2003-07-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030716,293.9943781618108,2003-07-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030717,295.6367326152772,2003-07-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030718,296.18241969629713,2003-07-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030719,296.11269450723444,2003-07-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030720,296.8271652138152,2003-07-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030721,296.03897924979265,2003-07-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030722,295.983120593989,2003-07-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030723,296.2233189337232,2003-07-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030724,295.27653292749534,2003-07-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030725,295.9294606684786,2003-07-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030726,296.10658791698523,2003-07-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030727,296.4423386247054,2003-07-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030728,296.2396543251707,2003-07-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030729,296.1979966735028,2003-07-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030730,296.3486620377363,2003-07-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030731,296.0871641982549,2003-07-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030801,295.9400468597943,2003-08-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030802,295.53022624668324,2003-08-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030803,295.4298610103195,2003-08-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030804,295.91629063868527,2003-08-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030805,295.94891807057786,2003-08-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030806,295.87813516091865,2003-08-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030807,296.1140951936899,2003-08-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030808,296.38330842013977,2003-08-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030809,296.7267565116782,2003-08-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030810,297.029739184244,2003-08-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030811,297.37009028383505,2003-08-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030812,297.6158416254426,2003-08-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030813,296.64652319127265,2003-08-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030814,296.61114739559883,2003-08-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030815,296.03638227544974,2003-08-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030816,295.8351191644824,2003-08-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
