system:index,airTemp,date,.geo
20030101,294.5879354011856,2003-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030102,295.3646865923252,2003-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030103,294.4364723516212,2003-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030104,293.4953156956629,2003-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030105,296.41065758576764,2003-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030106,295.5537336969062,2003-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030107,295.208118813212,2003-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030108,295.4054089039451,2003-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030109,294.77856345002965,2003-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030110,294.86605226634475,2003-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030111,295.8071598219772,2003-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030112,295.36352422184814,2003-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030113,295.87725240047035,2003-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030114,295.49460265272785,2003-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030115,295.09443116779823,2003-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030116,293.77212804729106,2003-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030117,293.46113794958035,2003-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030118,293.8572814719459,2003-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030119,294.6024432506379,2003-01-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030120,295.4378338243179,2003-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030121,296.11526710564516,2003-01-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030122,297.355629715129,2003-01-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030123,297.8540803087862,2003-01-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030124,298.0706080182073,2003-01-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030125,298.84904610437957,2003-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030126,298.3132398728458,2003-01-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030127,297.90628485255314,2003-01-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030128,297.8343519374565,2003-01-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030129,297.94173587532765,2003-01-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030130,298.01903626795485,2003-01-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030131,298.5197252103244,2003-01-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030201,298.36547244608283,2003-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030202,297.7872757952414,2003-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030203,296.460042947822,2003-02-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030204,296.5567827678406,2003-02-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030205,297.0804966730886,2003-02-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030206,297.2828821835306,2003-02-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030207,297.9059759095481,2003-02-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030208,297.8686662167399,2003-02-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030209,297.39604906983675,2003-02-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030210,297.1676605112073,2003-02-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030211,297.8204222969923,2003-02-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030212,298.6940777811991,2003-02-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030213,300.41612237956537,2003-02-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030214,299.40791213126477,2003-02-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030215,298.5993218355638,2003-02-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030216,298.87764012544886,2003-02-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030217,299.2334917782365,2003-02-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030218,299.3772903905304,2003-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030219,299.6490720115766,2003-02-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030220,299.84107484492563,2003-02-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030221,300.3281604040118,2003-02-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030222,299.7766286279415,2003-02-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030223,299.3849274313844,2003-02-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030224,299.09197600456724,2003-02-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030225,300.19938280582505,2003-02-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030226,300.0750262404299,2003-02-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030227,300.18104506623126,2003-02-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030228,300.9878880122633,2003-02-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030301,301.54689006770184,2003-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030302,301.91410913092164,2003-03-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030303,302.8826175550984,2003-03-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030304,302.4899168885721,2003-03-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
