system:index,airTemp,date,.geo
20030101,291.68465448048516,2003-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030102,294.1956799661607,2003-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030103,295.8285788042623,2003-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030104,295.98627753321796,2003-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030105,296.07180541093027,2003-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030106,296.9684904711127,2003-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030107,296.6955542804744,2003-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030108,296.77322708974606,2003-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030109,296.83374095545247,2003-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030110,296.32570227786834,2003-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030111,296.308510088143,2003-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030112,296.4342477695183,2003-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030113,295.7133470376328,2003-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030114,295.6959669170982,2003-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030115,295.2776460071716,2003-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030116,293.66515301303434,2003-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030117,292.869579148942,2003-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030118,294.3966456073665,2003-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030119,295.3518259015889,2003-01-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030120,296.1088132859946,2003-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030121,297.35601487940096,2003-01-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030122,297.20787154695296,2003-01-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030123,296.88771405751527,2003-01-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030124,296.0696882116566,2003-01-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030125,296.63190384309524,2003-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030126,298.10733257828036,2003-01-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030127,298.0971593322995,2003-01-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030128,296.8861130746464,2003-01-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030129,296.16863533937334,2003-01-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030130,296.614169238566,2003-01-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030131,297.139306446399,2003-01-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030201,296.81811306022274,2003-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030202,296.9337630407506,2003-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030203,297.0183286270921,2003-02-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030204,296.6385564868848,2003-02-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030205,297.802343552414,2003-02-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030206,298.1700822824122,2003-02-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030207,297.7440317934759,2003-02-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030208,296.7703488908553,2003-02-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030209,296.19180190717367,2003-02-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030210,297.08693529413614,2003-02-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030211,298.05032307183643,2003-02-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030212,298.2432358543839,2003-02-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030213,297.9201181777976,2003-02-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030214,298.0685476030195,2003-02-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030215,298.4881804010232,2003-02-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030216,297.9025965007016,2003-02-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030217,296.917494473144,2003-02-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030218,296.3264066618741,2003-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030219,295.1237918520699,2003-02-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030220,295.3655315806891,2003-02-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030221,297.37672133678916,2003-02-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030222,298.17004120379244,2003-02-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030223,298.6489728635042,2003-02-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030224,298.9928345362842,2003-02-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030225,298.5100605199812,2003-02-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030226,298.400057799716,2003-02-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030227,299.3664827302653,2003-02-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030228,300.51399962628517,2003-02-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030301,299.98843817553706,2003-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030302,299.57056611056123,2003-03-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030303,299.4090601842175,2003-03-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030304,299.0678416742547,2003-03-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
