system:index,Albedo_BSA_shortwave,date,.geo
2003_01_01,0.16446039762950887,2003-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_02,0.1649309163133593,2003-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_03,0.1655012550394448,2003-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_04,0.1659040231235854,2003-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_05,0.1659056889717876,2003-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_06,0.16591386552361098,2003-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_07,0.1658811090984085,2003-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_08,0.16600312068439751,2003-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_09,0.16594995067883778,2003-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_10,0.16612369209247274,2003-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_11,0.16643476872858964,2003-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_12,0.16647694459888387,2003-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_13,0.16640101571105123,2003-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_14,0.16646139318829886,2003-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_15,0.16655586921821441,2003-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_16,0.16640534820739972,2003-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_17,0.16653092705848557,2003-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_18,0.16607319439711563,2003-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_19,0.16614499345373612,2003-01-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_20,0.1663185644851762,2003-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_21,0.1661968685546203,2003-01-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_22,0.16619631077712166,2003-01-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_23,0.16633641515863426,2003-01-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_24,0.16624134697939041,2003-01-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_25,0.16634285919256742,2003-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_26,0.16658209731513496,2003-01-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_27,0.1665225209390744,2003-01-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_28,0.16661646968093613,2003-01-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_29,0.16655097297200266,2003-01-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_30,0.1666912190397614,2003-01-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
