system:index,Albedo_BSA_shortwave,date,.geo
2003_01_01,0.1500607333508358,2003-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_02,0.15133694320469054,2003-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_03,0.15153865844053552,2003-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_04,0.15131180537323882,2003-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_05,0.15122230480020976,2003-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_06,0.15146841391973417,2003-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_07,0.15196918335901383,2003-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_08,0.1517315851047391,2003-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_09,0.1516574840518287,2003-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_10,0.1503383440390259,2003-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_11,0.1505520897088397,2003-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_12,0.14995066450992384,2003-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_13,0.15001158520591065,2003-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_14,0.14827430707353315,2003-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_15,0.14842017137361174,2003-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_16,0.1483190521990031,2003-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_17,0.14820492699134372,2003-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_18,0.14770219463145925,2003-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_19,0.1475528110518492,2003-01-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_20,0.1475652487540439,2003-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_21,0.14742434641951563,2003-01-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_22,0.14736825653580485,2003-01-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_23,0.14795905831948936,2003-01-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_24,0.14793232491037853,2003-01-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_25,0.14783813500043708,2003-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_26,0.14774208708577413,2003-01-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
