system:index,Albedo_BSA_shortwave,date,.geo
2003_01_01,0.1363102093610992,2003-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_02,0.13620431604262984,2003-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_03,0.1362739686579897,2003-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_04,0.13621841074657834,2003-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_05,0.13585799066285884,2003-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_06,0.1355460826704009,2003-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_07,0.13569543392349895,2003-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_08,0.13521855877516817,2003-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_09,0.13471729744630728,2003-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_10,0.13438020357021038,2003-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_11,0.13446378299344386,2003-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_12,0.13442949928576767,2003-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_13,0.13435221436984657,2003-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_14,0.13381855624890274,2003-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_15,0.13367811754575062,2003-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_16,0.13410679942576129,2003-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_17,0.13423751147874188,2003-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_18,0.13421693236527227,2003-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_19,0.13412081997739325,2003-01-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_20,0.1341588234409571,2003-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_21,0.1340788186154367,2003-01-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_22,0.13399143281764012,2003-01-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_23,0.13370957654572826,2003-01-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_24,0.13389172990967305,2003-01-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_25,0.1339210796378515,2003-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_26,0.13405820763897203,2003-01-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_27,0.1339972142452406,2003-01-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_28,0.13385717296537983,2003-01-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_29,0.13378517103071974,2003-01-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_30,0.13382444312738284,2003-01-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_31,0.1336016710250809,2003-01-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_01,0.13375362585056264,2003-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_02,0.13334628185391928,2003-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_03,0.1332008909787703,2003-02-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_04,0.1330472634241358,2003-02-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_05,0.13300819558129245,2003-02-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_06,0.13274552399320058,2003-02-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_07,0.13261038688305044,2003-02-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_08,0.1323976448228936,2003-02-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_09,0.1324146003338478,2003-02-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_10,0.1324636500821425,2003-02-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_11,0.13228843455215575,2003-02-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_12,0.13218465489642245,2003-02-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_13,0.13195172764787938,2003-02-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_14,0.1318316132197738,2003-02-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_15,0.13174984288187203,2003-02-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_16,0.13192650304663855,2003-02-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_17,0.13207887179662028,2003-02-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_18,0.13233729302756359,2003-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_19,0.13236639682555923,2003-02-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_20,0.13255260876232952,2003-02-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_21,0.1325238220650978,2003-02-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_22,0.13263537267818412,2003-02-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_23,0.13265444160668396,2003-02-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_24,0.1330361101059778,2003-02-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_25,0.13318311178090175,2003-02-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_26,0.1334690201642434,2003-02-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_27,0.13413955146909054,2003-02-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_28,0.1340873035522216,2003-02-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_03_01,0.13497441455329684,2003-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_03_02,0.1350094478863962,2003-03-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_03_03,0.13525009998426185,2003-03-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_03_04,0.13541165049711335,2003-03-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_03_05,0.1357562962521174,2003-03-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_03_06,0.1360481731196185,2003-03-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_03_07,0.1360047193073362,2003-03-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_03_08,0.13642122167237755,2003-03-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_03_09,0.1360467462765247,2003-03-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_03_10,0.1361061559734447,2003-03-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_03_11,0.13603109685994144,2003-03-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_03_12,0.13626161922383995,2003-03-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_03_13,0.1361042645418202,2003-03-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_03_14,0.13555036876401344,2003-03-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_03_15,0.13444237749045837,2003-03-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_03_16,0.13437639038266525,2003-03-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_03_17,0.13393580083134712,2003-03-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_03_18,0.13390186156163825,2003-03-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_03_19,0.1338837892181377,2003-03-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_03_20,0.13383817384130975,2003-03-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_03_21,0.13361797240935427,2003-03-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_03_22,0.1333482637319233,2003-03-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_03_23,0.1334101903259328,2003-03-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_03_24,0.13430659810936948,2003-03-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_03_25,0.13421135796170333,2003-03-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_03_26,0.13515289373000836,2003-03-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_03_27,0.13519219305833446,2003-03-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_03_28,0.13549842931989545,2003-03-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_03_29,0.13567169778791666,2003-03-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_03_30,0.13583564140781731,2003-03-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_03_31,0.1359248937761164,2003-03-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_04_01,0.13593500446546158,2003-04-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_04_02,0.13571092645067287,2003-04-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_04_03,0.1356640836981035,2003-04-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_04_04,0.13550928826239794,2003-04-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_04_05,0.13511487665600463,2003-04-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_04_06,0.134429623,2003-04-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_04_07,0.13347787544953768,2003-04-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_04_08,0.13331486823627756,2003-04-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_04_09,0.13111047937857367,2003-04-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_04_10,0.13050455592453056,2003-04-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_04_11,0.12840821369468597,2003-04-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_04_12,0.1282031091347022,2003-04-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_04_13,0.12711420157428796,2003-04-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_04_14,0.1266939419058853,2003-04-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_04_15,0.12652629612309607,2003-04-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_04_16,0.12674635395732156,2003-04-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
