system:index,date,surfacePressure,.geo
20030101,2003-01-01,91658.96250065965,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030102,2003-01-02,91800.46235763952,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030103,2003-01-03,91845.3619444343,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030104,2003-01-04,91796.6754503257,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030105,2003-01-05,91857.99331750919,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030106,2003-01-06,91919.19109548528,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030107,2003-01-07,91886.50067299775,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030108,2003-01-08,91754.12041184293,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030109,2003-01-09,91859.97884035158,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030110,2003-01-10,91909.21746156791,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030111,2003-01-11,91918.01402070188,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030112,2003-01-12,91918.91823970377,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030113,2003-01-13,91893.92722167542,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030114,2003-01-14,91903.44616771703,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030115,2003-01-15,91948.29395481436,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030116,2003-01-16,91836.54802299343,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030117,2003-01-17,91858.16589314473,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030118,2003-01-18,91896.23655382283,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030119,2003-01-19,91822.30170853484,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030120,2003-01-20,91747.63791012028,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030121,2003-01-21,91734.99179559352,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030122,2003-01-22,91662.34239792015,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030123,2003-01-23,91517.61722547316,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030124,2003-01-24,91434.04784925932,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030125,2003-01-25,91543.2729435563,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030126,2003-01-26,91722.93682610043,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030127,2003-01-27,91734.50847414692,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030128,2003-01-28,91717.2029858052,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030129,2003-01-29,91724.60328397328,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030130,2003-01-30,91706.95797492292,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030131,2003-01-31,91737.666761455,"{""type"":""MultiPoint"",""coordinates"":[]}"
