system:index,date,surfacePressure,.geo
20030101,2003-01-01,94196.13232235826,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030102,2003-01-02,94267.54331407529,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030103,2003-01-03,94288.14568398795,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030104,2003-01-04,94300.92267428961,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030105,2003-01-05,94376.25272597098,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030106,2003-01-06,94428.76137369702,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030107,2003-01-07,94370.97962130405,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030108,2003-01-08,94202.2707481,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030109,2003-01-09,94275.28847604893,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030110,2003-01-10,94358.38573937971,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030111,2003-01-11,94397.10541210932,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030112,2003-01-12,94416.31573087785,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030113,2003-01-13,94413.39002747693,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030114,2003-01-14,94445.91601516724,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030115,2003-01-15,94509.66872195824,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030116,2003-01-16,94430.71578340778,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030117,2003-01-17,94420.16747994853,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030118,2003-01-18,94404.7756780316,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030119,2003-01-19,94287.99421897005,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030120,2003-01-20,94191.0750835715,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030121,2003-01-21,94200.5967394525,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030122,2003-01-22,94099.63781869435,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030123,2003-01-23,93935.91728617378,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030124,2003-01-24,93869.19653445738,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030125,2003-01-25,93986.57069896124,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030126,2003-01-26,94143.1815566869,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030127,2003-01-27,94155.9158995654,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030128,2003-01-28,94162.2671602952,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030129,2003-01-29,94223.56598967728,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030130,2003-01-30,94168.0820552894,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030131,2003-01-31,94167.6773327188,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030201,2003-02-01,94188.28420999135,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030202,2003-02-02,94281.33300640312,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030203,2003-02-03,94178.53379331403,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030204,2003-02-04,94170.4201779568,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030205,2003-02-05,94169.99871371836,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030206,2003-02-06,94125.43100844114,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030207,2003-02-07,93991.68520694638,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030208,2003-02-08,93847.44711653261,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030209,2003-02-09,93786.11638969973,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030210,2003-02-10,93842.7645005282,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030211,2003-02-11,93933.12126253598,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030212,2003-02-12,93968.63345035522,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030213,2003-02-13,93974.85230562136,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030214,2003-02-14,93952.57336171043,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030215,2003-02-15,94079.0621624381,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030216,2003-02-16,94140.05028774115,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030217,2003-02-17,94060.42284657122,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030218,2003-02-18,94065.78755224742,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030219,2003-02-19,94129.26335222379,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030220,2003-02-20,94208.68081972889,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030221,2003-02-21,94283.73238372718,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030222,2003-02-22,94201.95444645603,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030223,2003-02-23,94060.80887655253,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030224,2003-02-24,94080.58022213241,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030225,2003-02-25,94015.95137735891,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030226,2003-02-26,93981.33687402216,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030227,2003-02-27,94029.49892599645,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030228,2003-02-28,93998.47418310524,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030301,2003-03-01,93944.22687985498,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030302,2003-03-02,93949.05895742249,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030303,2003-03-03,93958.57211091388,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030304,2003-03-04,93890.56602587657,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030305,2003-03-05,93922.62750548363,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030306,2003-03-06,93984.29286220201,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030307,2003-03-07,93935.38858710596,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030308,2003-03-08,93901.37730598009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030309,2003-03-09,93943.5320838404,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030310,2003-03-10,93917.83823386887,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030311,2003-03-11,93843.63343599555,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030312,2003-03-12,93948.02552404515,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030313,2003-03-13,94141.24582984502,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030314,2003-03-14,94144.06269730406,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030315,2003-03-15,93913.3583701587,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030316,2003-03-16,93891.08734661409,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030317,2003-03-17,94041.49204045419,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030318,2003-03-18,94069.98675548949,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030319,2003-03-19,94011.03049425808,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030320,2003-03-20,93911.1508882721,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030321,2003-03-21,93931.35709131933,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030322,2003-03-22,94066.53999277316,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030323,2003-03-23,94075.11856862898,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030324,2003-03-24,93963.12584456154,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030325,2003-03-25,93920.13111075816,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030326,2003-03-26,94021.92735407957,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030327,2003-03-27,93958.82707614267,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030328,2003-03-28,93838.55825543772,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030329,2003-03-29,93753.52214356877,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030330,2003-03-30,93834.78448404407,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030331,2003-03-31,93875.14294757448,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030401,2003-04-01,93735.0556521612,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030402,2003-04-02,93673.0055129936,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030403,2003-04-03,93687.37657509129,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030404,2003-04-04,93771.79396542866,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030405,2003-04-05,93792.40352632731,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030406,2003-04-06,93856.10905826757,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030407,2003-04-07,94105.39779931601,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030408,2003-04-08,93991.6565935373,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030409,2003-04-09,93801.37300621155,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030410,2003-04-10,93889.70458122849,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030411,2003-04-11,94032.65401111681,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030412,2003-04-12,93972.4803610771,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030413,2003-04-13,93844.15040350263,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030414,2003-04-14,93858.92599347254,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030415,2003-04-15,93888.88695354767,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030416,2003-04-16,93931.45154886988,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030417,2003-04-17,93865.61612302953,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030418,2003-04-18,93833.6441040418,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030419,2003-04-19,93643.4334589353,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030420,2003-04-20,93632.10128230408,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030421,2003-04-21,93694.57359035227,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030422,2003-04-22,93806.29482717613,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030423,2003-04-23,93853.8910682663,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030424,2003-04-24,93786.59922429542,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030425,2003-04-25,93633.32163229828,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030426,2003-04-26,93553.09931073498,"{""type"":""MultiPoint"",""coordinates"":[]}"
