system:index,date,dewPointTemp,.geo
20030101,2003-01-01,285.6486483473165,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030102,2003-01-02,285.9757839211835,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030103,2003-01-03,286.1209814163043,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030104,2003-01-04,285.5956144133519,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030105,2003-01-05,287.22107373152716,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030106,2003-01-06,286.2155270163616,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030107,2003-01-07,286.34350680747355,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030108,2003-01-08,287.1321595665782,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030109,2003-01-09,287.90552394054384,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030110,2003-01-10,287.31673483015686,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030111,2003-01-11,285.4902394697381,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030112,2003-01-12,285.4088746155783,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030113,2003-01-13,285.4483175727785,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030114,2003-01-14,285.4939028613634,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030115,2003-01-15,285.27065739057736,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030116,2003-01-16,285.81932867466844,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030117,2003-01-17,284.7076092187293,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030118,2003-01-18,283.948160811368,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030119,2003-01-19,287.32702142155244,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030120,2003-01-20,289.1471470110746,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030121,2003-01-21,287.57063681337,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030122,2003-01-22,281.73754322433336,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030123,2003-01-23,280.58019063917726,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030124,2003-01-24,283.6841037277533,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030125,2003-01-25,283.42819009899597,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030126,2003-01-26,283.37838820761294,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030127,2003-01-27,283.8340096164963,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030128,2003-01-28,283.449424018153,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030129,2003-01-29,280.9189104027946,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030130,2003-01-30,279.6766650478403,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030131,2003-01-31,280.83206435272734,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030201,2003-02-01,288.3950224157974,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030202,2003-02-02,288.54392705852365,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030203,2003-02-03,287.0085313567031,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030204,2003-02-04,287.5945194733564,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030205,2003-02-05,287.99396953145737,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030206,2003-02-06,286.39321637017537,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030207,2003-02-07,284.04647340989953,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030208,2003-02-08,285.1468436901,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030209,2003-02-09,284.3224501712884,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030210,2003-02-10,285.85501372807107,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030211,2003-02-11,284.6786727036897,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030212,2003-02-12,287.49035310140033,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030213,2003-02-13,289.02461803857767,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030214,2003-02-14,288.0002980823634,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030215,2003-02-15,287.847525735798,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030216,2003-02-16,287.8610899986791,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030217,2003-02-17,286.9253480617332,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030218,2003-02-18,285.2653079515619,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030219,2003-02-19,285.5961716143621,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030220,2003-02-20,285.3748253353973,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030221,2003-02-21,283.5310439885333,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030222,2003-02-22,285.62002233382344,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030223,2003-02-23,285.19199902017124,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030224,2003-02-24,285.0823852806324,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030225,2003-02-25,287.59102129652996,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030226,2003-02-26,288.1199841289863,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030227,2003-02-27,287.3059116448393,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030228,2003-02-28,285.1426500112223,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030301,2003-03-01,284.359581455993,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030302,2003-03-02,284.2077097784074,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030303,2003-03-03,281.45626559867515,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030304,2003-03-04,282.23141922782787,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030305,2003-03-05,283.5524431538956,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030306,2003-03-06,283.49539344923494,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030307,2003-03-07,283.1865730599381,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030308,2003-03-08,285.88919247504276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030309,2003-03-09,285.3357507580147,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030310,2003-03-10,281.70453197163937,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030311,2003-03-11,285.2173351943855,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030312,2003-03-12,286.69610868763243,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030313,2003-03-13,289.20633752272795,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030314,2003-03-14,289.5446456875228,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030315,2003-03-15,290.4225953500315,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030316,2003-03-16,291.85189390142295,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030317,2003-03-17,291.9186564538783,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030318,2003-03-18,291.702480358245,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030319,2003-03-19,290.84521853136147,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030320,2003-03-20,291.32629855772956,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030321,2003-03-21,290.7826903456169,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030322,2003-03-22,286.5912670682874,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030323,2003-03-23,283.57962091449,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030324,2003-03-24,279.86339676220274,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030325,2003-03-25,281.4376178921896,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030326,2003-03-26,281.998004572077,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030327,2003-03-27,284.3029041275354,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030328,2003-03-28,286.01693933933944,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030329,2003-03-29,288.5699725452106,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030330,2003-03-30,289.38998215475004,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030331,2003-03-31,289.9257085386487,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030401,2003-04-01,290.07307851309577,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030402,2003-04-02,291.5353394990894,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030403,2003-04-03,290.35021748776126,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030404,2003-04-04,288.6196929149495,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030405,2003-04-05,291.3320952266321,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030406,2003-04-06,289.49418349209526,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030407,2003-04-07,285.17924417999006,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030408,2003-04-08,286.44883310006327,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030409,2003-04-09,289.40901012182036,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030410,2003-04-10,291.3319837302722,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030411,2003-04-11,291.0660422401853,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030412,2003-04-12,290.8608332348326,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030413,2003-04-13,289.91836321811996,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030414,2003-04-14,284.72779044762046,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030415,2003-04-15,284.88537139607917,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030416,2003-04-16,287.3857379365709,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030417,2003-04-17,286.5111750294845,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030418,2003-04-18,288.13126484652736,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030419,2003-04-19,290.39583301488074,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030420,2003-04-20,290.37947956828566,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030421,2003-04-21,288.42765406880267,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030422,2003-04-22,287.6318508521554,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030423,2003-04-23,286.3468216039856,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030424,2003-04-24,287.7147939476893,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030425,2003-04-25,285.6255274216511,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030426,2003-04-26,283.3209977577972,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030427,2003-04-27,287.54775155988483,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030428,2003-04-28,291.2155242495839,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030429,2003-04-29,291.0214218037911,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030430,2003-04-30,290.8445407978988,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030501,2003-05-01,289.72041465381005,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030502,2003-05-02,290.12596501776517,"{""type"":""MultiPoint"",""coordinates"":[]}"
