system:index,date,dewPointTemp,.geo
20030101,2003-01-01,282.9519213006165,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030102,2003-01-02,286.0441561652456,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030103,2003-01-03,290.0956433307579,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030104,2003-01-04,290.91119926861967,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030105,2003-01-05,287.4312826822866,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030106,2003-01-06,285.33765079773224,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030107,2003-01-07,282.1252547408387,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030108,2003-01-08,285.2127212196866,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030109,2003-01-09,287.1398821973448,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030110,2003-01-10,286.84789768726955,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030111,2003-01-11,286.5014204314326,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030112,2003-01-12,287.44992019402395,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030113,2003-01-13,287.1468321746995,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030114,2003-01-14,287.5210810658573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030115,2003-01-15,283.5673782907299,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030116,2003-01-16,278.13203844485076,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030117,2003-01-17,276.15071845784803,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030118,2003-01-18,284.3518090345528,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030119,2003-01-19,284.16913871132505,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030120,2003-01-20,284.83871332701074,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030121,2003-01-21,284.51841064594714,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030122,2003-01-22,283.9630599347562,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030123,2003-01-23,283.68531042096583,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030124,2003-01-24,283.6192516997842,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030125,2003-01-25,284.68059956374583,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030126,2003-01-26,286.05098803298347,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030127,2003-01-27,285.1243250397144,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030128,2003-01-28,284.4822357806972,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030129,2003-01-29,280.6780135323759,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030130,2003-01-30,283.2984956940315,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030131,2003-01-31,283.6632594020323,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030201,2003-02-01,285.72384172457015,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030202,2003-02-02,289.0704591185414,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030203,2003-02-03,285.5867222750016,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030204,2003-02-04,287.3005028483372,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030205,2003-02-05,288.2334386608937,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030206,2003-02-06,286.48765190140745,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030207,2003-02-07,285.65822005013905,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030208,2003-02-08,286.7121573033756,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030209,2003-02-09,285.92732960972137,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030210,2003-02-10,286.15562107546543,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030211,2003-02-11,286.01659937788565,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030212,2003-02-12,284.655965982895,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030213,2003-02-13,283.37793297648903,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030214,2003-02-14,288.93130965975786,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030215,2003-02-15,290.1894708959775,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030216,2003-02-16,289.9049324361393,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030217,2003-02-17,289.74727890881115,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030218,2003-02-18,288.5784097913094,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030219,2003-02-19,286.0216020065149,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030220,2003-02-20,287.99119240185524,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030221,2003-02-21,285.69332954462584,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030222,2003-02-22,286.79893373198234,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030223,2003-02-23,287.7470230328679,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030224,2003-02-24,287.9200288282034,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030225,2003-02-25,287.8141910265218,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030226,2003-02-26,288.6871074706346,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030227,2003-02-27,287.3391858013509,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030228,2003-02-28,286.3300271793175,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030301,2003-03-01,285.7060209009609,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030302,2003-03-02,285.3459088578383,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030303,2003-03-03,283.1533951393946,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030304,2003-03-04,283.14912838566767,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030305,2003-03-05,275.99729988901043,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030306,2003-03-06,273.4807246982942,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030307,2003-03-07,276.22234172376807,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030308,2003-03-08,285.6982890052433,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030309,2003-03-09,286.8469232923229,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030310,2003-03-10,285.2316289592546,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030311,2003-03-11,284.76010643681,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030312,2003-03-12,287.95547207131995,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030313,2003-03-13,292.41987434247454,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030314,2003-03-14,291.45602995944336,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030315,2003-03-15,292.70691546249117,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030316,2003-03-16,293.3936207272972,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030317,2003-03-17,292.39882480672173,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030318,2003-03-18,292.6491443052482,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030319,2003-03-19,291.525396707841,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030320,2003-03-20,291.3120579846107,"{""type"":""MultiPoint"",""coordinates"":[]}"
