system:index,evaporation_from_bare_soil_sum,date,.geo
20030101,-8.66E-04,2003-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030102,-7.44E-04,2003-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030103,-7.71E-04,2003-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030104,-9.71E-04,2003-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030105,-8.43E-04,2003-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030106,-9.14E-04,2003-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030107,-9.28E-04,2003-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030108,-8.89E-04,2003-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030109,-6.38E-04,2003-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030110,-5.99E-04,2003-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030111,-8.05E-04,2003-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030112,-8.11E-04,2003-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030113,-6.59E-04,2003-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030114,-7.04E-04,2003-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030115,-6.85E-04,2003-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030116,-6.16E-04,2003-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030117,-7.19E-04,2003-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030118,-7.94E-04,2003-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030119,-7.25E-04,2003-01-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030120,-5.72E-04,2003-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030121,-7.02E-04,2003-01-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030122,-8.76E-04,2003-01-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030123,-9.22E-04,2003-01-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030124,-8.92E-04,2003-01-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
