system:index,evaporation_from_bare_soil_sum,date,.geo
20030101,-4.07E-04,2003-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030102,-3.02E-04,2003-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030103,-1.28E-04,2003-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030104,-4.38E-05,2003-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030105,-5.45E-04,2003-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030106,-5.29E-04,2003-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030107,-5.46E-04,2003-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030108,-4.56E-04,2003-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030109,-3.90E-04,2003-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030110,-3.89E-04,2003-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030111,-3.81E-04,2003-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030112,-3.12E-04,2003-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030113,-3.53E-04,2003-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030114,-3.02E-04,2003-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030115,-3.65E-04,2003-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030116,-3.90E-04,2003-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030117,-4.15E-04,2003-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030118,-4.20E-04,2003-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030119,-3.78E-04,2003-01-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030120,-4.19E-04,2003-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030121,-4.41E-04,2003-01-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030122,-4.44E-04,2003-01-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030123,-4.75E-04,2003-01-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030124,-4.56E-04,2003-01-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030125,-4.64E-04,2003-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030126,-3.69E-04,2003-01-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030127,-4.21E-04,2003-01-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030128,-4.12E-04,2003-01-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030129,-4.66E-04,2003-01-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030130,-4.50E-04,2003-01-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030131,-4.25E-04,2003-01-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030201,-3.79E-04,2003-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030202,-3.14E-04,2003-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030203,-3.23E-04,2003-02-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030204,-3.64E-04,2003-02-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030205,-2.52E-04,2003-02-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030206,-3.89E-04,2003-02-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030207,-3.27E-04,2003-02-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030208,-3.20E-04,2003-02-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030209,-2.71E-04,2003-02-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030210,-2.65E-04,2003-02-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030211,-3.24E-04,2003-02-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030212,-3.81E-04,2003-02-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030213,-4.43E-04,2003-02-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030214,-3.37E-04,2003-02-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030215,-2.29E-04,2003-02-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030216,-2.62E-04,2003-02-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030217,-2.81E-04,2003-02-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030218,-2.79E-04,2003-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030219,-3.57E-04,2003-02-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030220,-3.43E-04,2003-02-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030221,-3.57E-04,2003-02-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030222,-3.44E-04,2003-02-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030223,-2.98E-04,2003-02-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030224,-2.91E-04,2003-02-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030225,-3.34E-04,2003-02-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030226,-2.76E-04,2003-02-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030227,-2.82E-04,2003-02-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030228,-3.49E-04,2003-02-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030301,-3.49E-04,2003-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030302,-3.49E-04,2003-03-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030303,-3.76E-04,2003-03-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030304,-3.50E-04,2003-03-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030305,-3.73E-04,2003-03-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030306,-3.82E-04,2003-03-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030307,-3.73E-04,2003-03-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030308,-3.20E-04,2003-03-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030309,-3.25E-04,2003-03-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030310,-2.97E-04,2003-03-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030311,-3.03E-04,2003-03-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030312,-2.74E-04,2003-03-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030313,-1.88E-04,2003-03-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030314,-5.17E-04,2003-03-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030315,-3.97E-04,2003-03-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030316,-4.09E-04,2003-03-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030317,-0.001158481,2003-03-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030318,-0.001182435,2003-03-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030319,-0.001389663,2003-03-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030320,-0.001221441,2003-03-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030321,-0.001197876,2003-03-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030322,-0.00113698,2003-03-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030323,-0.001057867,2003-03-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030324,-0.001008279,2003-03-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030325,-8.37E-04,2003-03-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030326,-6.99E-04,2003-03-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030327,-7.13E-04,2003-03-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030328,-5.26E-04,2003-03-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030329,-4.98E-04,2003-03-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030330,-5.36E-04,2003-03-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030331,-5.47E-04,2003-03-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030401,-5.77E-04,2003-04-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030402,-4.16E-04,2003-04-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030403,-4.71E-04,2003-04-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030404,-4.16E-04,2003-04-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030405,-4.11E-04,2003-04-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030406,-2.80E-04,2003-04-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
