system:index,evaporation_from_bare_soil_sum,date,.geo
20030101,-5.17E-04,2003-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030102,-4.75E-04,2003-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030103,-4.44E-04,2003-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030104,-4.61E-04,2003-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030105,-5.15E-04,2003-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030106,-5.78E-04,2003-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030107,-5.44E-04,2003-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030108,-5.76E-04,2003-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030109,-5.33E-04,2003-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030110,-4.50E-04,2003-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030111,-4.85E-04,2003-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030112,-4.99E-04,2003-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030113,-4.30E-04,2003-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030114,-4.46E-04,2003-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030115,-4.82E-04,2003-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030116,-5.71E-04,2003-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030117,-5.52E-04,2003-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030118,-5.25E-04,2003-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030119,-4.58E-04,2003-01-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030120,-5.41E-04,2003-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030121,-5.60E-04,2003-01-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030122,-5.70E-04,2003-01-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030123,-6.05E-04,2003-01-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030124,-6.20E-04,2003-01-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030125,-5.95E-04,2003-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030126,-5.74E-04,2003-01-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030127,-5.41E-04,2003-01-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030128,-5.33E-04,2003-01-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030129,-5.66E-04,2003-01-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030130,-5.82E-04,2003-01-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030131,-6.09E-04,2003-01-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
