system:index,evaporation_from_vegetation_transpiration_sum,date,.geo
20030101,-2.85E-05,2003-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030102,-5.36E-05,2003-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030103,-5.14E-05,2003-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030104,-4.76E-05,2003-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030105,-4.98E-05,2003-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030106,-5.46E-05,2003-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030107,-4.39E-05,2003-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030108,-3.90E-05,2003-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030109,-4.20E-05,2003-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030110,-4.90E-05,2003-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030111,-6.69E-05,2003-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030112,-7.39E-05,2003-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030113,-6.04E-05,2003-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030114,-7.64E-05,2003-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030115,-7.52E-05,2003-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030116,-5.66E-05,2003-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030117,-6.93E-05,2003-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030118,-6.68E-05,2003-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030119,-3.49E-05,2003-01-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030120,-2.43E-05,2003-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030121,-4.00E-05,2003-01-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
