system:index,evaporation_from_vegetation_transpiration_sum,date,.geo
20030101,-1.79E-04,2003-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030102,-1.27E-04,2003-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030103,-5.81E-05,2003-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030104,-2.56E-05,2003-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030105,-7.92E-05,2003-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030106,-1.28E-04,2003-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030107,-1.66E-04,2003-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030108,-1.23E-04,2003-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030109,-1.25E-04,2003-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030110,-1.18E-04,2003-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030111,-1.12E-04,2003-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030112,-1.09E-04,2003-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030113,-9.98E-05,2003-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030114,-1.25E-04,2003-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030115,-1.84E-04,2003-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030116,-2.45E-04,2003-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030117,-2.33E-04,2003-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030118,-1.26E-04,2003-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030119,-1.20E-04,2003-01-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030120,-1.09E-04,2003-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030121,-1.11E-04,2003-01-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030122,-7.47E-05,2003-01-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030123,-5.19E-05,2003-01-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030124,-8.69E-05,2003-01-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030125,-9.14E-05,2003-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030126,-1.20E-04,2003-01-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030127,-1.23E-04,2003-01-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030128,-1.62E-04,2003-01-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030129,-1.52E-04,2003-01-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030130,-1.07E-04,2003-01-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030131,-1.41E-04,2003-01-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030201,-1.80E-04,2003-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030202,-9.65E-05,2003-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030203,-2.38E-04,2003-02-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030204,-1.48E-04,2003-02-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030205,-1.17E-04,2003-02-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030206,-1.39E-04,2003-02-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030207,-1.24E-04,2003-02-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030208,-1.15E-04,2003-02-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030209,-1.68E-04,2003-02-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030210,-2.01E-04,2003-02-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030211,-1.77E-04,2003-02-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030212,-1.35E-04,2003-02-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030213,-1.01E-04,2003-02-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030214,-9.20E-05,2003-02-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030215,-9.81E-05,2003-02-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030216,-1.21E-04,2003-02-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030217,-1.05E-04,2003-02-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
