system:index,evaporation_from_vegetation_transpiration_sum,date,.geo
20030101,-1.60E-04,2003-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030102,-1.30E-04,2003-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030103,-8.28E-05,2003-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030104,-5.76E-05,2003-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030105,-7.68E-05,2003-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030106,-7.16E-05,2003-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030107,-6.69E-05,2003-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030108,-8.60E-05,2003-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030109,-9.63E-05,2003-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030110,-7.57E-05,2003-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030111,-7.84E-05,2003-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030112,-7.48E-05,2003-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030113,-6.95E-05,2003-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030114,-1.12E-04,2003-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030115,-1.31E-04,2003-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030116,-2.01E-04,2003-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030117,-2.26E-04,2003-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030118,-1.58E-04,2003-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030119,-1.10E-04,2003-01-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030120,-7.55E-05,2003-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030121,-6.26E-05,2003-01-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030122,-4.35E-05,2003-01-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030123,-8.65E-05,2003-01-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030124,-1.11E-04,2003-01-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030125,-9.84E-05,2003-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030126,-7.59E-05,2003-01-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030127,-6.12E-05,2003-01-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030128,-8.29E-05,2003-01-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030129,-1.08E-04,2003-01-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030130,-9.30E-05,2003-01-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030131,-9.30E-05,2003-01-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030201,-8.00E-05,2003-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030202,-6.02E-05,2003-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
