system:index,LST_Celsius,date,.geo
gf_Day2003_001,309.39528457894085,2003-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_002,311.7911325941794,2003-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_003,330.45704975683236,2003-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_004,382.6693344125259,2003-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_005,331.85393916981207,2003-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_006,385.38985954213405,2003-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_007,343.1104980567552,2003-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_008,372.43176315440587,2003-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_009,355.77428183676767,2003-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_010,338.54965565843537,2003-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_011,350.6089019446401,2003-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_012,328.27039360299216,2003-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_013,315.3561789599284,2003-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_014,318.2767100204443,2003-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_015,311.1686680575229,2003-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_016,304.7219101711591,2003-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_017,360.6359521201257,2003-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_018,374.5683292979897,2003-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_019,360.3842687887689,2003-01-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_020,326.47324985870483,2003-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_021,359.814824828876,2003-01-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_022,366.22502564245707,2003-01-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_023,319.3759515619223,2003-01-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_024,399.05254261532133,2003-01-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_025,335.4133651276542,2003-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_026,356.17317205914156,2003-01-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_027,397.81624824689305,2003-01-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_028,375.8689827445452,2003-01-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_029,417.9024923770385,2003-01-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_030,359.1692454489,2003-01-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_031,425.60855830082943,2003-01-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_032,382.0599300850566,2003-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_033,382.1343228646988,2003-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_034,376.1052875792824,2003-02-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_035,372.09080569646306,2003-02-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_036,387.91404892650587,2003-02-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_037,383.0368623401272,2003-02-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_038,442.41178820377206,2003-02-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_039,394.92152187109707,2003-02-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_040,431.26972201483426,2003-02-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_041,387.31065923791334,2003-02-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_042,417.93042870001483,2003-02-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_043,435.9596977329977,2003-02-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
