system:index,LST_Celsius,date,.geo
gf_Day2003_001,352.53027148567634,2003-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_002,316.60534643570946,2003-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_003,300.8584901732177,2003-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_004,305.69863840772814,2003-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_005,318.788953197868,2003-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_006,324.3658186209193,2003-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_007,331.95652898067954,2003-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_008,330.15681212524987,2003-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_009,314.0911892071951,2003-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_010,339.65125333111257,2003-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_011,343.4878622584943,2003-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_012,309.74581528980684,2003-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_013,349.7261409060626,2003-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_014,302.39257161892067,2003-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_015,284.8457903064624,2003-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_016,300.2789806795469,2003-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_017,350.15481345769484,2003-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_018,354.39813041305774,2003-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_019,334.2735051632245,2003-01-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_020,377.5941039307128,2003-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_021,358.83989840106585,2003-01-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_022,339.1554172218522,2003-01-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_023,360.876790473018,2003-01-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_024,398.91813790806117,2003-01-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_025,346.694516155896,2003-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_026,370.56703864090605,2003-01-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_027,378.88734593604266,2003-01-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_028,385.40212774816786,2003-01-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_029,399.8678172884741,2003-01-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_030,355.53655896069273,2003-01-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
