system:index,LST_Celsius,date,.geo
gf_Day2003_001,342.46203991212207,2003-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_002,357.34294020046434,2003-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_003,325.90960099557446,2003-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_004,354.356189100977,2003-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_005,342.35347420142296,2003-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_006,382.70851775303487,2003-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_007,369.84550457683434,2003-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_008,363.9324941059983,2003-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_009,330.66702531625856,2003-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_010,319.3422604029638,2003-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_011,338.30838279463967,2003-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_012,328.13065197871794,2003-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_013,333.40875160623654,2003-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_014,318.58173551920515,2003-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_015,338.5233427731104,2003-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_016,377.8058648981123,2003-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_017,369.80665267186396,2003-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_018,382.186091228729,2003-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_019,342.60145536731306,2003-01-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_020,383.8853506737306,2003-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_021,357.7208635144435,2003-01-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_022,368.1825175246884,2003-01-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_023,399.0922996724719,2003-01-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_024,355.18677460160154,2003-01-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_025,338.87047760064837,2003-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_026,390.71895831759156,2003-01-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_027,393.7988288032962,2003-01-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_028,359.406692191648,2003-01-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_029,402.1053276149611,2003-01-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_030,396.4899185220268,2003-01-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_031,434.1107786279478,2003-01-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_032,391.35509313011164,2003-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_033,405.2930642301371,2003-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_034,410.0103275827836,2003-02-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_035,369.1358925214404,2003-02-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_036,440.9234884576246,2003-02-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_037,374.99686606678193,2003-02-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_038,407.0407549565985,2003-02-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_039,399.59443524249406,2003-02-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_040,429.7127493256261,2003-02-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_041,437.6005028880667,2003-02-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_042,425.5198822892011,2003-02-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_043,453.1005301800772,2003-02-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_044,406.95951629499825,2003-02-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_045,463.38224832297055,2003-02-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_046,423.3821732401477,2003-02-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_047,465.74590280182895,2003-02-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_048,433.7597337729928,2003-02-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_049,425.10589014024254,2003-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_050,383.1771544658662,2003-02-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_051,424.9079293897288,2003-02-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_052,471.912048933979,2003-02-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_053,431.6724212685085,2003-02-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_054,484.7808866304189,2003-02-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_055,463.86756128843984,2003-02-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_056,464.38052189474735,2003-02-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_057,453.3357842114889,2003-02-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_058,457.7692824012776,2003-02-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_059,493.60846405093906,2003-02-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_060,444.8068757751103,2003-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_061,504.323841037029,2003-03-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_062,440.5132115974594,2003-03-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_063,482.904826204716,2003-03-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_064,431.7159800322594,2003-03-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_065,438.29351162842164,2003-03-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_066,469.69561852395776,2003-03-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_067,408.2087707702328,2003-03-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_068,491.98226853574437,2003-03-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_069,424.5693752179488,2003-03-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_070,494.36073030082946,2003-03-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_071,450.5377155323957,2003-03-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_072,464.0917359553994,2003-03-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_073,482.3470819120232,2003-03-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_074,469.08556676924724,2003-03-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_075,504.3671583439539,2003-03-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_076,477.02918481267517,2003-03-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_077,508.6684445008024,2003-03-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_078,460.2104383239894,2003-03-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_079,499.53821036395584,2003-03-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_080,496.0420749841428,2003-03-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_081,485.647542872888,2003-03-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_082,505.23002707510415,2003-03-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_083,469.2214688250154,2003-03-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_084,516.6403871222707,2003-03-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_085,453.3079265771024,2003-03-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_086,527.1723865873952,2003-03-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_087,464.06307171696744,2003-03-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_088,501.5519321670776,2003-03-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
gf_Day2003_089,502.2383100215067,2003-03-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
