system:index,date,temperature,.geo
2010_01_17,2010-01-17,307.0609022777683,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_25,2010-01-25,307.82646963812647,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_02,2010-02-02,310.3084367170835,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_10,2010-02-10,314.6950629921822,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_18,2010-02-18,314.7166040214505,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_26,2010-02-26,315.6865537353823,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_06,2010-03-06,316.4425763264253,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_14,2010-03-14,315.0928153377883,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_22,2010-03-22,315.5605976899276,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_30,2010-03-30,315.2659725562263,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_07,2010-04-07,315.6603162889532,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_15,2010-04-15,312.0222251136012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_23,2010-04-23,310.4511084829474,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_05_01,2010-05-01,310.1847528768231,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_05_09,2010-05-09,311.6310650432339,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_05_17,2010-05-17,308.09864149687013,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_05_25,2010-05-25,307.9423154562354,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_06_02,2010-06-02,309.5282602340495,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_06_10,2010-06-10,307.51408412719127,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_06_18,2010-06-18,308.93514113627117,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_06_26,2010-06-26,310.023800318088,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_07_04,2010-07-04,301.5776470588234,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_07_12,2010-07-12,306.0007822340074,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_07_20,2010-07-20,302.4486549925483,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_07_28,2010-07-28,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_08_05,2010-08-05,306.16843295866096,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_08_13,2010-08-13,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_08_21,2010-08-21,299.1003881369427,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_08_29,2010-08-29,303.41273915180375,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_09_06,2010-09-06,301.2640272686946,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_09_14,2010-09-14,301.46346441947577,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_09_22,2010-09-22,305.54478181197425,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_09_30,2010-09-30,303.74897909664753,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_10_08,2010-10-08,303.4714465849742,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_10_16,2010-10-16,302.7931588591446,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_10_24,2010-10-24,298.14936029048107,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_11_01,2010-11-01,299.77614169691844,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_11_09,2010-11-09,301.27607323716444,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_11_17,2010-11-17,296.5049024231812,"{""type"":""MultiPoint"",""coordinates"":[]}"
