system:index,date,temperature,.geo
2010_01_17,2010-01-17,307.45478498622,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_25,2010-01-25,307.52787217288585,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_02,2010-02-02,309.301744170786,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_10,2010-02-10,312.1981359639531,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_18,2010-02-18,311.06966971433576,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_26,2010-02-26,315.19840631698656,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_06,2010-03-06,314.358455313006,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_14,2010-03-14,314.5489575222013,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_22,2010-03-22,314.9780642197822,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_30,2010-03-30,317.9615788092219,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_07,2010-04-07,315.054875103898,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_15,2010-04-15,319.0782479548536,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_23,2010-04-23,319.17884246904947,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_05_01,2010-05-01,314.18143707073807,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_05_09,2010-05-09,317.7496990244541,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_05_17,2010-05-17,312.1154745617317,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_05_25,2010-05-25,316.79534231593686,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_06_02,2010-06-02,316.0763966052757,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_06_10,2010-06-10,305.2160508938637,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_06_18,2010-06-18,311.2003142743302,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_06_26,2010-06-26,308.16791829639294,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_07_04,2010-07-04,306.78185417672626,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_07_12,2010-07-12,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_07_20,2010-07-20,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_07_28,2010-07-28,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_08_05,2010-08-05,306.54795788866466,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_08_13,2010-08-13,307.51244584256824,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_08_21,2010-08-21,307.95350463737276,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_08_29,2010-08-29,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_09_06,2010-09-06,302.98,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_09_14,2010-09-14,302.8606060606061,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_09_22,2010-09-22,306.3384633941298,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_09_30,2010-09-30,306.175146005746,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_10_08,2010-10-08,308.1452333872873,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_10_16,2010-10-16,305.1409982235007,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_10_24,2010-10-24,307.5347674876418,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_11_01,2010-11-01,304.00526842134184,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_11_09,2010-11-09,304.42830351283965,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_11_17,2010-11-17,304.76092742464675,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_11_25,2010-11-25,305.11188415941217,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_12_03,2010-12-03,303.4528596708546,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_12_11,2010-12-11,304.29512095892204,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_12_19,2010-12-19,304.1223391224465,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_12_27,2010-12-27,305.2721265147207,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_01_01,2011-01-01,305.0255553611269,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_01_09,2011-01-09,307.55185616168706,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_01_17,2011-01-17,308.73220875803827,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_01_25,2011-01-25,309.83995362876783,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_02_02,2011-02-02,310.97138851218335,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_02_10,2011-02-10,310.8465842775275,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_02_18,2011-02-18,308.5604195284133,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_02_26,2011-02-26,311.5138374382081,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_03_06,2011-03-06,315.0423452469489,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_03_14,2011-03-14,316.0208237455705,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_03_22,2011-03-22,314.0941952841332,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_03_30,2011-03-30,316.3665698412005,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_04_07,2011-04-07,314.80427927730886,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_04_15,2011-04-15,313.4105424559255,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_04_23,2011-04-23,314.41282164574113,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_05_01,2011-05-01,317.10378363008033,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_05_09,2011-05-09,317.340939236187,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_05_17,2011-05-17,315.97407060676335,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_05_25,2011-05-25,315.74628373944637,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_06_02,2011-06-02,313.20160551724155,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_06_10,2011-06-10,311.1958845922661,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_06_18,2011-06-18,307.8240632111249,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_06_26,2011-06-26,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_07_04,2011-07-04,310.6229729447404,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_07_12,2011-07-12,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_07_20,2011-07-20,307.0661346332914,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_07_28,2011-07-28,299.52566371681417,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_08_05,2011-08-05,307.5152153606643,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_08_13,2011-08-13,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_08_21,2011-08-21,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_08_29,2011-08-29,302.0966789215686,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_09_06,2011-09-06,305.18257754903317,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_09_14,2011-09-14,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_09_22,2011-09-22,311.2014608157401,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_09_30,2011-09-30,309.0107125939893,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_10_08,2011-10-08,306.4462387179408,"{""type"":""MultiPoint"",""coordinates"":[]}"
