system:index,date,temperature,.geo
2010_01_17,2010-01-17,307.69716885161995,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_25,2010-01-25,307.4840004330149,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_02,2010-02-02,308.3960151434825,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_10,2010-02-10,311.7257334183989,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_18,2010-02-18,314.006347622479,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_26,2010-02-26,316.4437151044903,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_06,2010-03-06,316.1955369580915,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_14,2010-03-14,318.0432337138908,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_22,2010-03-22,318.97636290141253,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_30,2010-03-30,320.84966266963374,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_07,2010-04-07,321.82839698945696,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_15,2010-04-15,319.76795561718274,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_23,2010-04-23,322.22059059376056,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_05_01,2010-05-01,318.5124660376354,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_05_09,2010-05-09,321.2340853068718,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_05_17,2010-05-17,316.97885641660616,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_05_25,2010-05-25,316.8814989069402,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_06_02,2010-06-02,315.6545941381475,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_06_10,2010-06-10,310.50911745458245,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_06_18,2010-06-18,308.6814446907486,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_06_26,2010-06-26,311.5852339517405,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_07_04,2010-07-04,306.883595844968,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_07_12,2010-07-12,308.72762007927884,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_07_20,2010-07-20,299.9699864146914,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_07_28,2010-07-28,300.61046658259795,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_08_05,2010-08-05,303.4683829887579,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_08_13,2010-08-13,303.56942985637613,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_08_21,2010-08-21,300.6466513089939,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_08_29,2010-08-29,297.9514322469983,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_09_06,2010-09-06,303.5734844334481,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_09_14,2010-09-14,303.69995616597697,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_09_22,2010-09-22,305.5919291755425,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_09_30,2010-09-30,304.83026288940795,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_10_08,2010-10-08,306.01809020334844,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_10_16,2010-10-16,302.0081622429948,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_10_24,2010-10-24,305.6326919321974,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_11_01,2010-11-01,304.592769008221,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_11_09,2010-11-09,303.97198146969845,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_11_17,2010-11-17,302.79112849595845,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_11_25,2010-11-25,304.60404648591685,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_12_03,2010-12-03,303.52419651248323,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_12_11,2010-12-11,303.7237168535868,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_12_19,2010-12-19,305.34210475644477,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_12_27,2010-12-27,304.3155789337696,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_01_01,2011-01-01,305.7548438992567,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_01_09,2011-01-09,308.1779280403976,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_01_17,2011-01-17,310.32393456368396,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_01_25,2011-01-25,310.5516864012365,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_02_02,2011-02-02,312.02994872987483,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_02_10,2011-02-10,311.38556716386347,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_02_18,2011-02-18,312.3037457713394,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_02_26,2011-02-26,313.1272235297302,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_03_06,2011-03-06,317.71362761450087,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_03_14,2011-03-14,319.0398090375737,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_03_22,2011-03-22,318.6976084816719,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_03_30,2011-03-30,319.7369789115903,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_04_07,2011-04-07,318.7207106550653,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_04_15,2011-04-15,319.6323224264445,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_04_23,2011-04-23,318.69552634823333,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_05_01,2011-05-01,318.4278725973727,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_05_09,2011-05-09,319.4993420935226,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_05_17,2011-05-17,317.58984824726673,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_05_25,2011-05-25,319.21425524503974,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_06_02,2011-06-02,312.3410487818723,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_06_10,2011-06-10,308.5916243231015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_06_18,2011-06-18,307.06435306185716,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_06_26,2011-06-26,307.65764148935915,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_07_04,2011-07-04,308.54149693066034,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_07_12,2011-07-12,299.1648745372275,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_07_20,2011-07-20,306.9343708145347,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_07_28,2011-07-28,307.67778061671936,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_08_05,2011-08-05,303.90116976775613,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_08_13,2011-08-13,307.11593254666394,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_08_21,2011-08-21,306.8343232887973,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_08_29,2011-08-29,302.4746026601522,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_09_06,2011-09-06,303.71807631293234,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_09_14,2011-09-14,303.70484884636437,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_09_22,2011-09-22,306.32441011992813,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_09_30,2011-09-30,306.10658192977377,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_10_08,2011-10-08,307.38507261586415,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_10_16,2011-10-16,307.01175722718364,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_10_24,2011-10-24,306.9464621808895,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_11_01,2011-11-01,308.29155828105155,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_11_09,2011-11-09,307.99517744575525,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_11_17,2011-11-17,308.08995337575936,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_11_25,2011-11-25,308.5320854111179,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_12_03,2011-12-03,308.8097325884554,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_12_11,2011-12-11,307.14433699156825,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_12_19,2011-12-19,307.54807183731486,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_12_27,2011-12-27,307.64616279442737,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01,2012-01-01,308.9058898048131,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_09,2012-01-09,307.8463589089242,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_17,2012-01-17,307.8753752291625,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_25,2012-01-25,309.0579639194634,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_02_02,2012-02-02,310.98005787059105,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_02_10,2012-02-10,313.8467335316655,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_02_18,2012-02-18,316.0425940127712,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_02_26,2012-02-26,317.1383648839222,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_03_05,2012-03-05,316.69735340903577,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_03_13,2012-03-13,320.339743519066,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_03_21,2012-03-21,318.89002694735603,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_03_29,2012-03-29,317.9834046972043,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_04_06,2012-04-06,320.00956866939185,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_04_14,2012-04-14,318.678726832309,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_04_22,2012-04-22,322.2247445940513,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_04_30,2012-04-30,320.0297308697688,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_05_08,2012-05-08,319.6686517811234,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_05_16,2012-05-16,321.71687881020205,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_05_24,2012-05-24,318.2545532915978,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_06_01,2012-06-01,315.3908423554823,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_06_09,2012-06-09,316.3624639352391,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_06_17,2012-06-17,311.5616194070802,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_06_25,2012-06-25,312.9065320513918,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_07_03,2012-07-03,309.70515868518004,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_07_11,2012-07-11,313.2415186776187,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_07_19,2012-07-19,312.78445344553444,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_07_27,2012-07-27,306.3970212765958,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_08_04,2012-08-04,305.2311734444573,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_08_12,2012-08-12,309.74901423643007,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_08_20,2012-08-20,303.16485945942344,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_08_28,2012-08-28,306.8020862785535,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_09_05,2012-09-05,307.1752158877805,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_09_13,2012-09-13,306.65994895422625,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_09_21,2012-09-21,308.0043861626752,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_09_29,2012-09-29,305.29994381009743,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_10_07,2012-10-07,306.89951882761454,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_10_15,2012-10-15,307.49802308400575,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_10_23,2012-10-23,306.51298841563704,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_10_31,2012-10-31,307.8378149553632,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_11_08,2012-11-08,307.7730765333157,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_11_16,2012-11-16,307.9903969249946,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_11_24,2012-11-24,307.7828734023814,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_12_02,2012-12-02,308.3770575207697,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_12_10,2012-12-10,309.1445088742915,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_12_18,2012-12-18,307.6961267700233,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_12_26,2012-12-26,307.67817192682355,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_01_01,2013-01-01,310.0493161928378,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_01_09,2013-01-09,310.7195118412453,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_01_17,2013-01-17,309.53420220576805,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_01_25,2013-01-25,309.69479375677224,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_02_02,2013-02-02,311.1072911231016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_02_10,2013-02-10,311.430468252113,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_02_18,2013-02-18,316.3211174932859,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_02_26,2013-02-26,317.5860590162751,"{""type"":""MultiPoint"",""coordinates"":[]}"
2013_03_06,2013-03-06,318.62253401219004,"{""type"":""MultiPoint"",""coordinates"":[]}"
