system:index,date,temperature,.geo
2010_01_15,2010-01-15,289.3057737530124,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_16,2010-01-16,307.0332630473774,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_17,2010-01-17,304.03055146810664,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_18,2010-01-18,306.7876977893759,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_19,2010-01-19,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_20,2010-01-20,309.36267465768407,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_21,2010-01-21,308.8728124589878,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_22,2010-01-22,307.25790104554017,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_23,2010-01-23,308.3667535762719,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_24,2010-01-24,305.1133571022355,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_25,2010-01-25,308.51650203421,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_26,2010-01-26,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_27,2010-01-27,304.1165512497134,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_28,2010-01-28,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_29,2010-01-29,304.63453714672517,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_30,2010-01-30,308.6132853580646,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_31,2010-01-31,307.4566044008924,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_01,2010-02-01,308.61558642110333,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_02,2010-02-02,305.3414375082025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_03,2010-02-03,310.81214095104787,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_04,2010-02-04,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_05,2010-02-05,310.351614681307,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_06,2010-02-06,304.99467519922723,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_07,2010-02-07,308.5363629165291,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_08,2010-02-08,311.947681438383,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_09,2010-02-09,309.9763887309155,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_10,2010-02-10,312.56460693818616,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_11,2010-02-11,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_12,2010-02-12,312.12029835075884,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_13,2010-02-13,310.5761319392799,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_14,2010-02-14,312.99628942648405,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_15,2010-02-15,312.5493989238374,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_16,2010-02-16,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_17,2010-02-17,312.3722170698629,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_18,2010-02-18,300.82632282712507,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_19,2010-02-19,311.3353563006254,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_20,2010-02-20,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_21,2010-02-21,301.5418391406864,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_22,2010-02-22,311.30489071400183,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_23,2010-02-23,311.56043265234706,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_24,2010-02-24,312.83336585152455,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_25,2010-02-25,307.97546430947625,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_26,2010-02-26,315.41339603657195,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_27,2010-02-27,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_28,2010-02-28,318.35397961415634,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_01,2010-03-01,314.46012511483434,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_02,2010-03-02,314.6613465155958,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_03,2010-03-03,314.7930434402206,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_04,2010-03-04,312.5486670458024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_05,2010-03-05,316.16150137801316,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_06,2010-03-06,311.54443807690643,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_07,2010-03-07,317.84390559355955,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_08,2010-03-08,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_09,2010-03-09,315.26679520537255,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_10,2010-03-10,310.99879633749396,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_11,2010-03-11,314.128548492935,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_12,2010-03-12,316.1410039809264,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_13,2010-03-13,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_14,2010-03-14,317.64572289554155,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_15,2010-03-15,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_16,2010-03-16,314.0359798504317,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_17,2010-03-17,306.86,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_18,2010-03-18,308.23737796237486,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_19,2010-03-19,314.6480401592372,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_20,2010-03-20,310.3859223063767,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_21,2010-03-21,317.2109204252156,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_22,2010-03-22,314.46136313924484,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_23,2010-03-23,319.8994864167286,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_24,2010-03-24,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_25,2010-03-25,318.6369876197559,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_26,2010-03-26,313.27475480117243,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_27,2010-03-27,312.9453825626668,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_28,2010-03-28,315.31267509514856,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_29,2010-03-29,309.9159070223344,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_30,2010-03-30,312.34266757246377,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_31,2010-03-31,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_01,2010-04-01,321.3684518132901,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_02,2010-04-02,315.3961008793035,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_03,2010-04-03,320.3886985432434,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_04,2010-04-04,312.9245432598709,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_05,2010-04-05,317.603540837307,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_06,2010-04-06,319.52166770293593,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_07,2010-04-07,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_08,2010-04-08,312.92030769230774,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_09,2010-04-09,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_10,2010-04-10,316.77930012387174,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_11,2010-04-11,317.0126134126602,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_12,2010-04-12,310.9961071327879,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_13,2010-04-13,314.8611719420187,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_14,2010-04-14,314.6722006082214,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_15,2010-04-15,321.9242600288729,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_16,2010-04-16,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_17,2010-04-17,319.99301832466557,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_18,2010-04-18,312.3088787093202,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_19,2010-04-19,319.4258786473599,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_20,2010-04-20,318.04601397982674,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_21,2010-04-21,319.42018329760697,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_22,2010-04-22,321.31902059035906,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_23,2010-04-23,316.72992415885267,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_24,2010-04-24,323.14043396474034,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_25,2010-04-25,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_26,2010-04-26,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_27,2010-04-27,317.65006433260373,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_28,2010-04-28,319.52195100692677,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_29,2010-04-29,315.1623060884067,"{""type"":""MultiPoint"",""coordinates"":[]}"
