system:index,NDVI,date,.geo
2003_01_01,0.26574295083060917,2003-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_02,0.3215068625229273,2003-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_03,0.4022499708010217,2003-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_04,0.3705322994408581,2003-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_05,0.407204808577247,2003-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_06,0.3638433844280342,2003-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_07,0.3974204394986693,2003-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_08,0.34568064976254614,2003-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_09,0.3488631924288396,2003-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_10,0.2612266867686803,2003-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_11,0.36074038750011145,2003-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_12,,2003-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_13,0.22359924553906219,2003-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_14,0.3744482453562936,2003-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_15,0.31041010480740083,2003-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_16,0.2174439430451169,2003-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_17,0.3659853976223891,2003-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_18,0.3560121606145859,2003-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_19,0.22200397800123317,2003-01-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_20,0.27181525612021845,2003-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_21,0.3651264610560544,2003-01-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_22,0.2851469450489331,2003-01-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_23,0.2700140674501717,2003-01-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_24,0.31155249396469875,2003-01-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_25,0.34297534528898616,2003-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_26,0.3523762145654748,2003-01-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_27,0.33446726996834636,2003-01-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_28,,2003-01-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_29,0.3181455271294009,2003-01-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_30,0.3557811080897244,2003-01-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_31,0.3217078467936716,2003-01-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_01,,2003-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_02,0.296017392442226,2003-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_03,0.16829791967828692,2003-02-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_04,0.09018273890012615,2003-02-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_05,0.3179567111171408,2003-02-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_06,0.30932119797327784,2003-02-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_07,0.3117204262032887,2003-02-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_08,0.34553450215527703,2003-02-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_09,0.31946339881563723,2003-02-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_10,0.32609400846665737,2003-02-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_11,0.3354569316124582,2003-02-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_12,0.31394073798066363,2003-02-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_13,,2003-02-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_14,0.28545266202131125,2003-02-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_15,0.3366089399513686,2003-02-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_16,0.31045041180027944,2003-02-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_17,0.33032447375362683,2003-02-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_18,0.3232755017767744,2003-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_19,0.3137034081839782,2003-02-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_20,0.3252592407661102,2003-02-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_21,0.3013131863347953,2003-02-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_22,0.29421492472169253,2003-02-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_23,0.29533222393198294,2003-02-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_24,0.3215513643023176,2003-02-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_25,0.3075200678017337,2003-02-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_26,0.3274318460090161,2003-02-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_27,0.32789243664438167,2003-02-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_28,0.31076601970875206,2003-02-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_03_01,,2003-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_03_02,0.30608938675302516,2003-03-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_03_03,0.3377107505726443,2003-03-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_03_04,0.3003383284639381,2003-03-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_03_05,0.3278449082986868,2003-03-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_03_06,0.32326068393328805,2003-03-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
