system:index,NDVI,date,.geo
2003_01_01,0.23062079893391632,2003-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_02,0.19745600480765166,2003-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_03,0.019037339299041688,2003-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_04,0.07963297972074283,2003-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_05,0.19465502219332867,2003-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_06,0.20082057478455978,2003-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_07,0.1875869166668927,2003-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_08,0.20556435579207344,2003-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_09,0.12396877962010702,2003-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_10,0.2165116809978767,2003-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_11,0.21990679664872445,2003-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_12,,2003-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_13,0.02189644720940823,2003-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_14,0.14145352892394294,2003-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_15,0.1257586821572633,2003-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_16,0.0710733559732258,2003-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_17,0.21850095833759067,2003-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_18,0.22118982250635097,2003-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_19,0.22394586328996796,2003-01-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_20,0.22179790043871764,2003-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_21,0.23658245543965362,2003-01-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_22,0.21597857172606674,2003-01-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_23,0.21925898198635202,2003-01-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_24,0.17851746609386063,2003-01-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_25,0.20096223988731018,2003-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_26,0.18072841512924873,2003-01-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_27,0.2128646887393663,2003-01-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_28,,2003-01-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_29,0.21182459016480273,2003-01-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_30,0.20180945771112524,2003-01-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_31,0.21234754721579174,2003-01-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_01,,2003-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_02,0.13463487917155506,2003-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_03,0.21846486401032578,2003-02-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_04,0.18422774253481414,2003-02-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
