system:index,NDVI,date,.geo
2003_01_01,0.45742509914856916,2003-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_02,0.3591396000919258,2003-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_03,0.33368668197619394,2003-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_04,0.36198121900475666,2003-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_05,0.3613612902488848,2003-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_06,0.3728736066135723,2003-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_07,0.3650071147643536,2003-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_08,0.34234349053162966,2003-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_09,0.3498916107729062,2003-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_10,0.09988814783016765,2003-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_11,0.22961712065036807,2003-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_12,0.29280689072391725,2003-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_13,0.08609530918003122,2003-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_14,0.12135287753540097,2003-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_15,0.34113146306224285,2003-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_16,0.3576144865919131,2003-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_17,0.43680073126730956,2003-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_18,0.34779126825537016,2003-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_19,0.3180729028167302,2003-01-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_20,0.34946597923824857,2003-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_21,0.36321898783121476,2003-01-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_22,0.15335750119289798,2003-01-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_23,0.35891481907458755,2003-01-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_24,0.2112074661825624,2003-01-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_25,0.2874471844550331,2003-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_26,0.33772537224360694,2003-01-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_27,0.33828004996545685,2003-01-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_28,0.3335840274926998,2003-01-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_29,0.3406940135504266,2003-01-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_30,0.34623279179639777,2003-01-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01_31,0.3365864201336107,2003-01-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_01,,2003-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_02,0.36544830616398005,2003-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_03,0.3220891707447384,2003-02-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_04,0.3324545523776976,2003-02-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_05,0.3329729221183148,2003-02-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_06,0.33923485990900243,2003-02-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_07,0.3336185364516935,2003-02-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_08,0.3173244152880744,2003-02-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_09,0.3401992454007412,2003-02-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_10,0.3204043439624822,2003-02-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_11,0.3334866532284742,2003-02-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_12,0.3186193873748668,2003-02-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_13,0.32956440986127367,2003-02-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_14,0.32320579572613445,2003-02-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_15,0.32620730187335883,2003-02-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_16,0.32733241934651663,2003-02-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_17,0.3136474573187238,2003-02-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_18,0.34864954757224936,2003-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_19,0.27178640209985205,2003-02-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_20,0.3565628193667705,2003-02-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_21,0.30679570748970375,2003-02-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_22,0.3274071665727324,2003-02-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_23,0.3088559199033029,2003-02-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_24,0.3118620518257397,2003-02-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_25,0.30559735605070004,2003-02-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_26,0.29562830900584813,2003-02-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_27,0.3253883466106909,2003-02-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02_28,0.28748551664328664,2003-02-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_03_01,0.3165012884889187,2003-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_03_02,0.294851928595681,2003-03-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_03_03,0.30583377730834677,2003-03-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_03_04,0.2928059089630872,2003-03-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_03_05,0.27062398987532027,2003-03-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_03_06,0.19978063417230765,2003-03-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_03_07,0.26854498846419583,2003-03-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_03_08,0.26354766031716376,2003-03-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
