system:index,band,date,.geo
20100115,-0.008035860503395597,2010-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100116,-0.008271247457490747,2010-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100117,-0.007806195654002116,2010-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100118,-0.006417898147082218,2010-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100119,-0.0062659663446356035,2010-01-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100120,-0.007005233346930731,2010-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100121,-0.008463488634570346,2010-01-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100122,-0.008056184687998926,2010-01-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100123,-0.009053195515566527,2010-01-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100124,-0.007934230244416304,2010-01-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100125,-0.007806820463109199,2010-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100126,-0.007837568048311929,2010-01-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100127,-0.007319473517842369,2010-01-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100128,-0.008865621673137073,2010-01-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100129,-0.00895108371095877,2010-01-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100130,-0.00899277608952369,2010-01-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100131,-0.008547227794684463,2010-01-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100201,-0.008312128210093977,2010-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100202,-0.00972478371431179,2010-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100203,-0.010433085252181996,2010-02-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100204,-0.010227141019058023,2010-02-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100205,-0.010265769898025983,2010-02-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100206,-0.011020790235687526,2010-02-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100207,-0.00935210057623523,2010-02-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100208,-0.009604606717554018,2010-02-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100209,-0.008605229631292627,2010-02-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100210,-0.008871427110083263,2010-02-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100211,-0.009203510357958033,2010-02-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100212,-0.008766464859699898,2010-02-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100213,-0.009636009062728067,2010-02-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100214,-0.009397749774769404,2010-02-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100215,-0.009848827023590672,2010-02-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100216,-0.010031308307309587,2010-02-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100217,-0.009513510726176965,2010-02-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100218,-0.010435207197558229,2010-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100219,-0.009586083248686598,2010-02-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100220,-0.010647433474200968,2010-02-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100221,-0.010032988621352679,2010-02-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100222,-0.010185388852653628,2010-02-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100223,-0.009392697720674237,2010-02-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100224,-0.007054159329728826,2010-02-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100225,-0.007750781719925893,2010-02-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100226,-0.007622643104143189,2010-02-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100227,-0.010775968617050949,2010-02-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100228,-0.011532855944360222,2010-02-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100301,-0.012450297650211774,2010-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100302,-0.012086467284196458,2010-03-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100303,-0.01077702204338872,2010-03-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
