system:index,precipitation,date,.geo
20030101,0,2003-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030102,0,2003-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030103,0,2003-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030104,0,2003-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030105,0,2003-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030106,0,2003-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030107,0,2003-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030108,0,2003-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030109,0,2003-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030110,0.072272709,2003-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030111,0.004305326,2003-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030112,0,2003-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030113,0.5301065290475996,2003-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030114,0.4397657644101876,2003-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030115,0,2003-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030116,0,2003-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030117,0,2003-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030118,0,2003-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030119,0,2003-01-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030120,0,2003-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030121,0,2003-01-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030122,0,2003-01-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030123,0,2003-01-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030124,0.001698334,2003-01-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030125,0,2003-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030126,0,2003-01-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030127,0,2003-01-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030128,0,2003-01-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030129,0,2003-01-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
