system:index,surface_net_solar_radiation_sum,date,.geo
20030101,1.427781271690682E7,2003-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030102,1.2790345359910114E7,2003-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030103,1.4921273861034505E7,2003-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030104,1.7475382180378128E7,2003-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030105,1.584263433039722E7,2003-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030106,1.6816929625144172E7,2003-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030107,1.7463150812805854E7,2003-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030108,1.6334309843431795E7,2003-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030109,1.2791320725340066E7,2003-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030110,1.2602335009687595E7,2003-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030111,1.7093498659377858E7,2003-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030112,1.768407236803459E7,2003-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030113,1.4763611419284845E7,2003-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030114,1.72654813831792E7,2003-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030115,1.761261202281552E7,2003-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030116,1.4505492687873663E7,2003-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030117,1.756589308224429E7,2003-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030118,1.8289473059669547E7,2003-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030119,1.770329884147265E7,2003-01-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030120,1.3247698864961525E7,2003-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030121,1.6940131454172738E7,2003-01-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030122,1.8082292397664353E7,2003-01-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030123,1.85733615038058E7,2003-01-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030124,1.8242292027738687E7,2003-01-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030125,1.8790702142426725E7,2003-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030126,1.8383628283663686E7,2003-01-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030127,1.9066084703163087E7,2003-01-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030128,1.9076328441948563E7,2003-01-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030129,1.917750293110867E7,2003-01-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030130,1.96315300190507E7,2003-01-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030131,1.9643370563890547E7,2003-01-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030201,1.80944668283988E7,2003-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030202,1.7313815351400092E7,2003-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030203,1.7661326479348656E7,2003-02-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030204,1.7098899213031266E7,2003-02-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030205,1.5548528999747043E7,2003-02-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030206,1.919493436339058E7,2003-02-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030207,1.919211982637339E7,2003-02-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030208,1.8765126818011656E7,2003-02-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030209,1.858305450355632E7,2003-02-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030210,1.862433026488861E7,2003-02-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030211,1.9836662110211488E7,2003-02-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030212,1.8688797828337736E7,2003-02-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030213,1.6127573979637373E7,2003-02-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030214,1.8000084474013746E7,2003-02-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030215,1.8281928259344384E7,2003-02-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030216,1.784220415336868E7,2003-02-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030217,1.9390930733940803E7,2003-02-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030218,1.943383444059476E7,2003-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030219,1.7861420060487755E7,2003-02-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030220,1.8295313307265945E7,2003-02-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030221,1.906556145754327E7,2003-02-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030222,1.7225652732677747E7,2003-02-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030223,2.004875631563466E7,2003-02-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030224,2.0293179669780727E7,2003-02-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030225,1.5585970627176588E7,2003-02-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030226,1.7320874149806254E7,2003-02-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030227,1.7198401425132632E7,2003-02-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030228,2.02400448406806E7,2003-02-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030301,2.031886333507443E7,2003-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030302,2.067774228291004E7,2003-03-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030303,2.1070103862656955E7,2003-03-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030304,2.1045283882096812E7,2003-03-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030305,2.0819126788789324E7,2003-03-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030306,2.140630598333936E7,2003-03-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030307,2.1652302947319668E7,2003-03-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030308,2.086518949369815E7,2003-03-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030309,2.134726470180681E7,2003-03-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030310,2.17886511690778E7,2003-03-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030311,1.988475396441131E7,2003-03-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030312,1.805962427331586E7,2003-03-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030313,1.8332444725358713E7,2003-03-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030314,1.8555736715448037E7,2003-03-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030315,1.7250872091315854E7,2003-03-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030316,1.5478385218784733E7,2003-03-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030317,1.667162605626512E7,2003-03-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030318,1.6117903996514801E7,2003-03-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030319,1.8604906054468427E7,2003-03-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030320,1.7379310285284378E7,2003-03-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030321,1.7202945673876673E7,2003-03-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030322,2.1747780246490363E7,2003-03-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030323,2.2407616537467245E7,2003-03-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030324,2.259267393661977E7,2003-03-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030325,2.2356909100429703E7,2003-03-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030326,2.2459326322616417E7,2003-03-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030327,2.2006035358123675E7,2003-03-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030328,1.891996979660752E7,2003-03-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030329,1.7836941234587166E7,2003-03-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030330,1.728478807493978E7,2003-03-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030331,1.7345757771485705E7,2003-03-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030401,1.7434656979785673E7,2003-04-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030402,1.736022209631076E7,2003-04-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030403,1.704079952100375E7,2003-04-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030404,1.744289108443898E7,2003-04-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030405,1.5579388159572372E7,2003-04-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030406,1.7623735265336964E7,2003-04-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030407,2.134729266815304E7,2003-04-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030408,2.201685369342661E7,2003-04-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030409,1.821608890212087E7,2003-04-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030410,1.7210224925396927E7,2003-04-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030411,1.612907652709057E7,2003-04-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030412,1.7115585134044074E7,2003-04-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030413,1.8062002009134572E7,2003-04-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030414,2.2323007611253902E7,2003-04-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030415,2.2445777290821638E7,2003-04-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030416,2.0884604793936584E7,2003-04-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030417,2.022722455667849E7,2003-04-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030418,1.95746359130576E7,2003-04-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030419,1.8348816731145993E7,2003-04-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030420,1.758080654968624E7,2003-04-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030421,1.909076163375187E7,2003-04-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030422,2.0548442635138806E7,2003-04-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030423,2.0629956575708244E7,2003-04-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030424,1.7563810106233887E7,2003-04-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030425,2.1129486498005077E7,2003-04-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030426,2.294463338562858E7,2003-04-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030427,2.2240638071841422E7,2003-04-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030428,1.889617082757189E7,2003-04-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030429,1.698644676064666E7,2003-04-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030430,1.7845158369468622E7,2003-04-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030501,1.958983774980768E7,2003-05-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030502,2.0733043931497738E7,2003-05-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030503,1.9209432249592192E7,2003-05-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030504,1.7696591926867645E7,2003-05-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030505,1.9988942740912087E7,2003-05-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030506,1.7120268520046003E7,2003-05-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030507,1.920431679166166E7,2003-05-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030508,1.9886975679885298E7,2003-05-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030509,1.786165525833425E7,2003-05-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030510,1.778191996264177E7,2003-05-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030511,1.7185806905508827E7,2003-05-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030512,1.1320350762160962E7,2003-05-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030513,1.5056559606480734E7,2003-05-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030514,1.4699701079700705E7,2003-05-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030515,1.9243724827578876E7,2003-05-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030516,1.9638232331136897E7,2003-05-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030517,1.8119896778507598E7,2003-05-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030518,2.1119479817734264E7,2003-05-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030519,2.0844875601184227E7,2003-05-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030520,2.0868474264176812E7,2003-05-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030521,2.0370155807476204E7,2003-05-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030522,2.0046692590146314E7,2003-05-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030523,2.0721540606451087E7,2003-05-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030524,2.02815603652014E7,2003-05-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030525,1.9117732022093266E7,2003-05-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030526,2.0033061350569703E7,2003-05-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030527,1.8909434789756596E7,2003-05-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030528,1.8958632591294255E7,2003-05-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030529,1.92871288412249E7,2003-05-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030530,1.9245433628807746E7,2003-05-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030531,1.9600586681335025E7,2003-05-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030601,1.9074175787186824E7,2003-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030602,1.5548000744861817E7,2003-06-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030603,1.8472929359627508E7,2003-06-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030604,1.9546995691211063E7,2003-06-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030605,1.9785140158459343E7,2003-06-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030606,2.0326900113159824E7,2003-06-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030607,1.8972202956216536E7,2003-06-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030608,1.6242954455238696E7,2003-06-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030609,1.990355475015831E7,2003-06-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030610,1.9530677525672227E7,2003-06-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030611,1.873883804950044E7,2003-06-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030612,1.8010992122008298E7,2003-06-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030613,1.4946616341056537E7,2003-06-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030614,1.2318199283452582E7,2003-06-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030615,1.1063304448204588E7,2003-06-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030616,1.308301216978857E7,2003-06-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030617,1.5393543911627043E7,2003-06-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030618,1.279093823599852E7,2003-06-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030619,1.2443935397980142E7,2003-06-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030620,1.2713052730716828E7,2003-06-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030621,1.0187625680105088E7,2003-06-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030622,8833715.112366045,2003-06-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030623,1.1270801392303314E7,2003-06-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030624,1.1774588306465212E7,2003-06-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030625,1.4569418545931928E7,2003-06-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030626,1.3166933662774531E7,2003-06-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030627,1.4685269960112136E7,2003-06-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030628,1.4630826922319524E7,2003-06-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030629,1.2894086637309028E7,2003-06-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030630,1.5461677925126536E7,2003-06-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030701,1.326863789127837E7,2003-07-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030702,1.3536606497342153E7,2003-07-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030703,8931277.319136027,2003-07-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030704,6148303.732184013,2003-07-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030705,5976143.888396344,2003-07-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030706,1.0233258488685595E7,2003-07-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030707,1.2945861967282332E7,2003-07-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030708,8327416.969356638,2003-07-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030709,1.1460539099271297E7,2003-07-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030710,1.2270032557428665E7,2003-07-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030711,1.0292931922942322E7,2003-07-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030712,1.5652181346278055E7,2003-07-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030713,1.3791277189169008E7,2003-07-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030714,1.1350737936679076E7,2003-07-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030715,5808139.744085473,2003-07-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030716,7649730.979879873,2003-07-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030717,1.3118367773715261E7,2003-07-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030718,1.3833727202075345E7,2003-07-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030719,1.24329755769312E7,2003-07-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030720,1.2460050205754647E7,2003-07-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030721,1.406275166679402E7,2003-07-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030722,1.3888153384281779E7,2003-07-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030723,1.3094137046316596E7,2003-07-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030724,8981312.978,2003-07-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030725,1.0561631086497556E7,2003-07-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030726,1.0592537501876283E7,2003-07-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030727,1.4474789795044372E7,2003-07-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030728,1.2316900358027725E7,2003-07-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030729,1.3642015489751523E7,2003-07-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030730,1.3861393958751371E7,2003-07-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030731,1.185192458978344E7,2003-07-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030801,1.4777629969717752E7,2003-08-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030802,1.4141886143016394E7,2003-08-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030803,1.3288492624165451E7,2003-08-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030804,1.5771971660838064E7,2003-08-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030805,1.2439417428412415E7,2003-08-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030806,1.1497364273210209E7,2003-08-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030807,1.2696289788613882E7,2003-08-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030808,1.3437120723403601E7,2003-08-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030809,1.3396727314593162E7,2003-08-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
