system:index,surface_thermal_radiation_downwards_sum,date,.geo
20030101,2.68E+07,2003-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030102,3.08E+07,2003-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030103,3.26E+07,2003-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030104,3.21E+07,2003-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030105,3.12E+07,2003-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030106,3.14E+07,2003-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030107,3.18E+07,2003-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030108,3.12E+07,2003-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030109,3.18E+07,2003-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030110,3.21E+07,2003-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030111,3.18E+07,2003-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030112,3.19E+07,2003-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030113,3.16E+07,2003-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030114,3.11E+07,2003-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030115,3.03E+07,2003-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030116,2.67E+07,2003-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030117,2.59E+07,2003-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030118,2.93E+07,2003-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030119,3.09E+07,2003-01-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030120,3.05E+07,2003-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030121,3.15E+07,2003-01-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030122,3.10E+07,2003-01-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030123,2.97E+07,2003-01-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
