system:index,volumetric_soil_water_layer_1,date,.geo
20030101,0.192649286,2003-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030102,0.192116408,2003-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030103,0.191724231,2003-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030104,0.191393025,2003-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030105,0.190960061,2003-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030106,0.190625178,2003-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030107,0.190317459,2003-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030108,0.19005394,2003-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030109,0.190700288,2003-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030110,0.191440942,2003-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030111,0.191191608,2003-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030112,0.190747311,2003-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030113,0.190389044,2003-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030114,0.190140676,2003-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030115,0.189904123,2003-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030116,0.189764959,2003-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030117,0.189586925,2003-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030118,0.189410796,2003-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030119,0.189334459,2003-01-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030120,0.189492405,2003-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030121,0.189633877,2003-01-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030122,0.189388117,2003-01-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030123,0.189155703,2003-01-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030124,0.188972635,2003-01-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030125,0.188830048,2003-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030126,0.188735873,2003-01-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030127,0.188611065,2003-01-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030128,0.188486765,2003-01-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030129,0.188404393,2003-01-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030130,0.188338249,2003-01-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030131,0.188313749,2003-01-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030201,0.188301124,2003-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030202,0.188498702,2003-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030203,0.18856776,2003-02-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030204,0.189230118,2003-02-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030205,0.19031118,2003-02-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030206,0.190064683,2003-02-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030207,0.18969722,2003-02-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030208,0.189321646,2003-02-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030209,0.189019144,2003-02-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030210,0.188830457,2003-02-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030211,0.188741756,2003-02-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030212,0.188686569,2003-02-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030213,0.188800126,2003-02-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030214,0.188884611,2003-02-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030215,0.188814023,2003-02-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030216,0.188731234,2003-02-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030217,0.188660524,2003-02-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030218,0.188566392,2003-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030219,0.188484733,2003-02-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030220,0.188401368,2003-02-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030221,0.188337552,2003-02-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030222,0.188347305,2003-02-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030223,0.188330948,2003-02-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030224,0.188298227,2003-02-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030225,0.189028104,2003-02-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030226,0.190070165,2003-02-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030227,0.191955503,2003-02-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030228,0.191502955,2003-02-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
