system:index,volumetric_soil_water_layer_1,date,.geo
20030101,0.119923408,2003-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030102,0.120030416,2003-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030103,0.126387053,2003-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030104,0.1556429,2003-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030105,0.155939173,2003-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030106,0.149924754,2003-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030107,0.14475908,2003-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030108,0.140554505,2003-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030109,0.137579945,2003-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030110,0.135173439,2003-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030111,0.133032368,2003-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030112,0.131259487,2003-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030113,0.129874145,2003-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030114,0.128877874,2003-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030115,0.127728739,2003-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030116,0.12639944,2003-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030117,0.125232772,2003-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030118,0.124290783,2003-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030119,0.123566033,2003-01-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030120,0.12284804,2003-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030121,0.122264875,2003-01-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030122,0.121716252,2003-01-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030123,0.121210009,2003-01-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030124,0.120795166,2003-01-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030125,0.120440383,2003-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030126,0.1201777,2003-01-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030127,0.119980006,2003-01-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030128,0.119822137,2003-01-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030129,0.119676684,2003-01-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
