system:index,volumetric_soil_water_layer_1,date,.geo
20030101,0.148610498,2003-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030102,0.148433664,2003-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030103,0.148451846,2003-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030104,0.14834915,2003-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030105,0.148207563,2003-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030106,0.148017555,2003-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030107,0.147854854,2003-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030108,0.147745994,2003-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030109,0.147681013,2003-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030110,0.147941968,2003-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030111,0.148590069,2003-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030112,0.149809926,2003-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030113,0.150740932,2003-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030114,0.151001858,2003-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030115,0.15041843,2003-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030116,0.149776508,2003-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030117,0.149280781,2003-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030118,0.148899652,2003-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030119,0.148629793,2003-01-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030120,0.148412381,2003-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030121,0.148176836,2003-01-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030122,0.147952216,2003-01-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030123,0.147752687,2003-01-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030124,0.147580714,2003-01-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030125,0.147450778,2003-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030126,0.14734747,2003-01-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030127,0.147380079,2003-01-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030128,0.147468817,2003-01-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030129,0.147364254,2003-01-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030130,0.147245535,2003-01-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030131,0.147149558,2003-01-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030201,0.147089923,2003-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030202,0.147528952,2003-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030203,0.148608907,2003-02-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030204,0.148498356,2003-02-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030205,0.148045245,2003-02-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030206,0.147969758,2003-02-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030207,0.148873371,2003-02-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030208,0.149196693,2003-02-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030209,0.148499434,2003-02-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030210,0.148065568,2003-02-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030211,0.147738219,2003-02-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030212,0.14749138,2003-02-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030213,0.147311035,2003-02-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030214,0.147193825,2003-02-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030215,0.147072866,2003-02-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030216,0.147005824,2003-02-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030217,0.1469751,2003-02-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030218,0.147414089,2003-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030219,0.160626595,2003-02-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030220,0.1583717,2003-02-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030221,0.155920635,2003-02-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030222,0.153933098,2003-02-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030223,0.152330317,2003-02-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030224,0.151060616,2003-02-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030225,0.150108846,2003-02-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030226,0.149431342,2003-02-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030227,0.14882987,2003-02-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030228,0.148307547,2003-02-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030301,0.147915393,2003-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030302,0.147636274,2003-03-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030303,0.147420021,2003-03-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030304,0.147215603,2003-03-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030305,0.147040798,2003-03-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030306,0.146911391,2003-03-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030307,0.14681722,2003-03-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030308,0.146763853,2003-03-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030309,0.146699302,2003-03-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030310,0.146651756,2003-03-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030311,0.146633133,2003-03-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030312,0.146617254,2003-03-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030313,0.146598932,2003-03-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030314,0.14656469,2003-03-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030315,0.146535514,2003-03-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030316,0.146549103,2003-03-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030317,0.146555407,2003-03-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030318,0.146546387,2003-03-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030319,0.146521955,2003-03-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030320,0.14654309,2003-03-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030321,0.146693849,2003-03-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030322,0.146740687,2003-03-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030323,0.14664381,2003-03-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030324,0.146575297,2003-03-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030325,0.147382561,2003-03-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030326,0.147710912,2003-03-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030327,0.147235914,2003-03-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030328,0.146955126,2003-03-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030329,0.146797596,2003-03-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030330,0.146678209,2003-03-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030331,0.146608606,2003-03-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030401,0.146524548,2003-04-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030402,0.146460065,2003-04-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030403,0.146483632,2003-04-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030404,0.146787348,2003-04-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030405,0.146811249,2003-04-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030406,0.147000063,2003-04-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030407,0.167221013,2003-04-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030408,0.178760236,2003-04-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030409,0.169676204,2003-04-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030410,0.16749225,2003-04-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030411,0.183183319,2003-04-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030412,0.183002899,2003-04-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030413,0.169645293,2003-04-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030414,0.162085629,2003-04-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030415,0.157464828,2003-04-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030416,0.154227693,2003-04-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030417,0.151835002,2003-04-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030418,0.150250828,2003-04-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030419,0.149165463,2003-04-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
