system:index,date,u_component_of_wind_10m,v_component_of_wind_10m,.geo
20030101,2003-01-01,-0.3271140710622333,0.5135665375207273,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030102,2003-01-02,-2.8199629179331893,1.0437479408553796,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030103,2003-01-03,-2.8290722719924166,0.4948212030868239,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030104,2003-01-04,-2.668421581882791,0.23123161307914028,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030105,2003-01-05,-3.0919005256485272,0.284495936503381,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030106,2003-01-06,-3.0185077971964738,-0.30512805122432923,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030107,2003-01-07,-2.4752574937282947,-0.3454751225739665,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030108,2003-01-08,-2.4015025532312615,0.35377807935542066,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030109,2003-01-09,-2.5122348739263356,0.06580120554516511,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030110,2003-01-10,-2.6759238166885715,0.1350912281435833,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030111,2003-01-11,-2.843244881872188,0.10496961396825685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030112,2003-01-12,-3.1512334208453803,-0.3838546047929707,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030113,2003-01-13,-2.617089997109067,-0.5183890900159807,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030114,2003-01-14,-3.2572677068786207,-0.7483341960423692,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030115,2003-01-15,-3.3838083822092715,-0.4517359732156259,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030116,2003-01-16,-2.914150946997605,-0.6578207323732583,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030117,2003-01-17,-3.115785115468628,-0.02089766194990248,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030118,2003-01-18,-2.9888726655797377,-0.3181225553350007,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030119,2003-01-19,-2.4711314726417695,0.911631471873299,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030120,2003-01-20,-2.5610597086170683,0.47144568594575154,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030121,2003-01-21,-2.527409292689541,0.8072381118582789,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030122,2003-01-22,-2.5782715682105324,0.24745382095947493,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030123,2003-01-23,-1.8422557851964068,0.36787550130884683,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030124,2003-01-24,-1.3573776795554466,0.3353507099249126,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030125,2003-01-25,-2.5925031812808608,0.8794523556506326,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030126,2003-01-26,-2.7785270054796096,0.6472728376503127,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030127,2003-01-27,-2.7166354638369423,0.36877530882682374,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030128,2003-01-28,-2.444803067390447,0.08705318816871012,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030129,2003-01-29,-1.9552862828521398,-0.07434350469766796,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030130,2003-01-30,-2.006607688404235,-0.1824247509422599,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030131,2003-01-31,-1.8941818352116189,0.42863307687036983,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030201,2003-02-01,-2.2168604719636873,1.8222269135351505,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030202,2003-02-02,-2.2826715514489124,1.4942498703486253,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030203,2003-02-03,-2.3432954019720182,0.8432188354368689,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030204,2003-02-04,-2.119170516134353,0.6123291965152637,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030205,2003-02-05,-3.0443093605987688,-0.09909032036889077,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030206,2003-02-06,-2.798082641259505,0.08910695331403391,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030207,2003-02-07,-2.3214091875940084,0.012125506080060609,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030208,2003-02-08,-1.9330438273391193,1.0220198454743243,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030209,2003-02-09,-1.9462230517057915,1.068968969046211,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030210,2003-02-10,-2.829981227185895,1.2609371510079543,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030211,2003-02-11,-2.8755296628572427,0.9944931743502522,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030212,2003-02-12,-1.9587900940395373,0.7863586087469538,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030213,2003-02-13,-0.7260178727047395,1.5135661877859525,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030214,2003-02-14,-2.0383998909759984,1.297495628950525,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030215,2003-02-15,-1.9450858474025725,1.2088350340542195,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030216,2003-02-16,-2.329516956817265,1.2489341985320763,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030217,2003-02-17,-2.123089701836505,1.6436657874690934,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030218,2003-02-18,-1.2781778183201589,1.5843165672658566,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030219,2003-02-19,-0.8332692543915223,0.6711607181776705,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030220,2003-02-20,-1.8119849346736199,0.3052634672583252,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030221,2003-02-21,-2.047160534906636,0.3504147154995754,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030222,2003-02-22,-2.3078045046794107,-0.16614958360390666,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030223,2003-02-23,-2.5534731128382044,0.5601920555675243,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030224,2003-02-24,-1.8982673322753043,0.6490773695669224,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030225,2003-02-25,-0.6945746447623925,0.8058749037200473,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030226,2003-02-26,-0.461656570288166,0.8585242991056348,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030227,2003-02-27,-1.7310750857442259,1.0003918929556361,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030228,2003-02-28,-2.5428078461630976,0.8843693052893119,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030301,2003-03-01,-1.7861958247892913,0.7587208193940483,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030302,2003-03-02,-2.2751614581056216,0.360206511374165,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030303,2003-03-03,-2.1556174415348153,0.6458144807279751,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030304,2003-03-04,-2.2165038710071276,0.6823692448952497,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030305,2003-03-05,-2.7825688182287083,0.7471022132294449,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030306,2003-03-06,-3.263803262122058,0.7484544618179457,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030307,2003-03-07,-3.165760615360174,0.7934737904184046,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030308,2003-03-08,-2.8173328261413713,1.067146839884852,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030309,2003-03-09,-2.8634155544613336,0.836131597153089,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030310,2003-03-10,-2.164423656528673,1.1735107882284819,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030311,2003-03-11,-0.8015243990433599,1.1413955335906592,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030312,2003-03-12,-1.5030961370904925,1.925356221828189,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030313,2003-03-13,-2.3307531981251692,1.213903784404776,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030314,2003-03-14,-1.8304149335901194,1.3335151132930538,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030315,2003-03-15,-0.3873422429875043,1.022312902117439,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030316,2003-03-16,-0.24548537584007424,0.9168955685918688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030317,2003-03-17,-0.9548589602612768,1.3131417006506065,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030318,2003-03-18,-1.272353239558293,1.369784386157608,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030319,2003-03-19,-1.3357903690400423,1.778897897765228,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030320,2003-03-20,-0.5334864995274168,0.6414940529505113,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030321,2003-03-21,-2.1229158220037125,0.7472028404970497,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030322,2003-03-22,-2.8680705938242195,0.7269682329291975,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030323,2003-03-23,-2.7461512185510286,0.42836403323831307,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030324,2003-03-24,-2.6123205145979522,0.6081668364068675,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030325,2003-03-25,-2.0116344287472305,1.1588729118281869,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030326,2003-03-26,-2.4677941524118956,1.0765438886620755,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030327,2003-03-27,-1.1236320407983333,0.4457225279926402,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030328,2003-03-28,0.07061889022152414,0.5446951636805616,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030329,2003-03-29,-0.16177345009368987,0.3935315270050515,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030330,2003-03-30,-0.25662213612275636,0.7192785997894097,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030331,2003-03-31,0.43016722756023923,0.6812130534495208,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030401,2003-04-01,0.6473659309794351,0.9236665289353939,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030402,2003-04-02,1.5221568697143995,0.8862904178903097,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030403,2003-04-03,2.312588993369542,0.8866073087681696,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030404,2003-04-04,1.9208612305483657,0.3611855376245288,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030405,2003-04-05,0.7134342075299575,0.27061916155441434,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030406,2003-04-06,-1.4803024483159757,0.8577448087566533,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030407,2003-04-07,-2.5628066313014495,0.7787562053183128,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030408,2003-04-08,-1.7916927028033474,0.06060119041149234,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030409,2003-04-09,-1.067859280010196,0.5279547369749101,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030410,2003-04-10,-0.45316373450007347,1.1448871643209828,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030411,2003-04-11,-0.5356284914358367,1.1351057529266204,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030412,2003-04-12,-0.16022409262510592,-0.06252315757721516,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030413,2003-04-13,-0.6722620167923331,0.6711494246731728,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030414,2003-04-14,-1.1481532585518408,1.5372168828990482,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030415,2003-04-15,-1.1184590710581341,1.4280862356724,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030416,2003-04-16,-1.5149524345084926,1.43422582517289,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030417,2003-04-17,-0.8128539589310513,1.1158255769218042,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030418,2003-04-18,0.4899370393407835,-0.6389197719319155,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030419,2003-04-19,0.4244020556516167,0.15697689617957258,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030420,2003-04-20,-0.5569142914915552,-0.05084142026812985,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030421,2003-04-21,-1.848117992808833,1.1391744172233098,"{""type"":""MultiPoint"",""coordinates"":[]}"
