system:index,date,u_component_of_wind_10m,v_component_of_wind_10m,.geo
20030101,2003-01-01,-2.0390087386618894,-1.773130371878321,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030102,2003-01-02,-2.833918743382437,0.9027802514084816,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030103,2003-01-03,-2.358773617936051,1.87872346306843,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030104,2003-01-04,-1.6249615216944997,0.9154415798215084,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030105,2003-01-05,-2.2789992205521803,-0.198964806358515,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030106,2003-01-06,-2.2654188016435284,-0.430732950488103,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030107,2003-01-07,-2.1342069932182137,-0.8006580193867273,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030108,2003-01-08,-2.221885456238089,0.5938016286563185,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030109,2003-01-09,-2.6078883075882358,1.063553202679941,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030110,2003-01-10,-2.359670855946768,0.9022119189804864,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030111,2003-01-11,-2.234089786301658,0.6743606847215099,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030112,2003-01-12,-2.290279518265306,0.8302492185660723,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030113,2003-01-13,-2.0658314431417537,0.3698668297769985,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030114,2003-01-14,-2.4906904433921557,-0.005291322516883733,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030115,2003-01-15,-2.054822656007791,-1.3397573743500408,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030116,2003-01-16,-2.307156199698417,-0.8059218037430947,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030117,2003-01-17,-2.4438915304444406,-0.24003252442555945,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030118,2003-01-18,-2.6440371307483708,0.752257700004315,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030119,2003-01-19,-2.311287716527596,1.1274629322699714,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030120,2003-01-20,-2.4179617211539073,1.0219482640990805,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030121,2003-01-21,-2.0944790828773874,1.4447042483833878,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030122,2003-01-22,-1.3300675834131122,0.707237372244788,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030123,2003-01-23,0.41886213311672577,1.0192231262902636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030124,2003-01-24,0.5142020577448699,-0.007555432973133889,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030125,2003-01-25,-1.470661061282673,1.1558355856569644,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030126,2003-01-26,-1.9111828808370774,0.9868767784888839,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030127,2003-01-27,-1.5095026789634534,0.8128649675493584,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030128,2003-01-28,-1.649688382770443,2.1087745700042877,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030129,2003-01-29,-0.9175302489147581,1.2785490937985802,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030130,2003-01-30,-0.8434554223595583,1.1980145767529615,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030131,2003-01-31,-1.0236908954247894,1.9627395355531088,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030201,2003-02-01,-2.301737609332748,2.3188516847116727,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030202,2003-02-02,-2.1793875565059877,1.948056960971192,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030203,2003-02-03,-2.8536391701153834,2.4097333184556504,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030204,2003-02-04,-2.5257001072091763,1.8295422340264953,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030205,2003-02-05,-2.6883045066712223,0.9701716223297805,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030206,2003-02-06,-2.2870174782662662,1.1729663486111284,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030207,2003-02-07,-1.888058437190672,1.01980470000637,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030208,2003-02-08,-1.5093729715720714,1.6636789842123936,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030209,2003-02-09,-2.1430051496466485,1.7905939920697955,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030210,2003-02-10,-2.5948926138096646,2.363397104926548,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030211,2003-02-11,-2.5856660574176624,2.250707438086901,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030212,2003-02-12,-1.7993794281797295,1.7004514142092906,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030213,2003-02-13,-0.4946993675185833,1.3887843150821781,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030214,2003-02-14,-2.3512644363078516,1.3441197572735395,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030215,2003-02-15,-2.0291237779754256,2.199776622127018,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030216,2003-02-16,-2.1957216366268857,2.4897634312465997,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030217,2003-02-17,-1.1823961512337784,2.440587336393468,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030218,2003-02-18,-0.7072045961658142,3.10204448195046,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030219,2003-02-19,0.3279066002762831,0.8026843247222293,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030220,2003-02-20,-1.3952295252559435,-0.8631645615075015,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030221,2003-02-21,-1.767221336916309,-0.8894112854630972,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030222,2003-02-22,-1.9010845599562658,0.7987540129934926,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030223,2003-02-23,-2.065189068755562,1.4091275685899523,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030224,2003-02-24,-1.5353149272488953,1.1379453621303144,"{""type"":""MultiPoint"",""coordinates"":[]}"
