system:index,date,u_component_of_wind_10m,v_component_of_wind_10m,.geo
20030101,2003-01-01,-1.9152865432788042,-0.2644817053179613,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030102,2003-01-02,-1.231767504544084,0.7382441671914144,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030103,2003-01-03,-1.283637117786177,0.7495439998025158,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030104,2003-01-04,-1.4569616941409325,0.2590059223875666,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030105,2003-01-05,-2.1592802026390605,-0.04231679976648018,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030106,2003-01-06,-1.7474543919239602,0.5306785033149511,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030107,2003-01-07,-0.802601484192609,0.07215594047256269,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030108,2003-01-08,-1.1546984475169717,0.6493573635984602,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030109,2003-01-09,-0.9369406365707871,1.0328466554400118,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030110,2003-01-10,-1.4554741671627531,0.8026803519805579,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030111,2003-01-11,-1.0086255356902047,0.3517280398005679,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030112,2003-01-12,-0.9728441742290077,-0.09153396044909495,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030113,2003-01-13,-1.0660059342658985,-0.3644088296135848,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030114,2003-01-14,-2.299681315399937,-0.5481817563666552,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030115,2003-01-15,-2.253778397312188,-0.16666324025921547,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030116,2003-01-16,-2.0897780810438467,-0.6228062179779309,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030117,2003-01-17,-2.312402320255072,-0.04539673237608593,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030118,2003-01-18,-1.9296659606129676,0.07136793741518323,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030119,2003-01-19,-1.3886612683159936,0.5461715125841689,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030120,2003-01-20,-0.9273397194867247,0.4656750726140325,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030121,2003-01-21,-0.3509237346989381,0.6300224680994839,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030122,2003-01-22,0.45939681817497485,-0.5606652762971727,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030123,2003-01-23,1.2105848845124727,-0.6015737942093851,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030124,2003-01-24,1.3696577582109566,-0.7192324379218322,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030125,2003-01-25,-0.8797915506165698,-1.0034564559520676,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030126,2003-01-26,-0.9603645092564721,0.2805536750327218,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030127,2003-01-27,0.45283920233553676,0.5391226915742461,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030128,2003-01-28,0.9754364631747826,-0.6676945756019865,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030129,2003-01-29,-0.14096181139345998,-1.265917264338356,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030130,2003-01-30,0.10192000394426624,-0.3276499522013107,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030131,2003-01-31,0.6896852331732354,-0.395574337211198,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030201,2003-02-01,1.188363522358655,-0.3357652877755117,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030202,2003-02-02,0.658772893112867,-0.7301893363157003,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030203,2003-02-03,0.3401155225934002,-0.2386427260701029,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030204,2003-02-04,0.1703492818045499,-0.2500877367912084,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030205,2003-02-05,-1.5998411472260663,-0.2530203739020526,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030206,2003-02-06,-0.35248915150542925,0.3328778675297143,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030207,2003-02-07,1.1610076539181808,-0.372442464977042,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030208,2003-02-08,1.3439612194549309,-0.2801961417285475,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030209,2003-02-09,0.8345512078907814,-0.5340840606865495,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030210,2003-02-10,0.25891080782580167,-0.5807934253584104,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030211,2003-02-11,0.29095905125974736,-1.0618726755222125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030212,2003-02-12,0.6697423852101331,-1.0481905692527804,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030213,2003-02-13,1.2164785835985787,-0.7982036493702392,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030214,2003-02-14,-0.12032426020883968,-0.2597128906357964,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030215,2003-02-15,0.8876131901491329,-0.2366572972413798,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030216,2003-02-16,1.6282949523845938,-0.06228460548642542,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030217,2003-02-17,1.9425599562891933,0.6654581020871726,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030218,2003-02-18,2.6759912764384874,0.9696835760705398,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030219,2003-02-19,2.700632493498357,0.07126448817748156,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030220,2003-02-20,-0.2734054630680638,-1.137420263363324,"{""type"":""MultiPoint"",""coordinates"":[]}"
